hie	PAVD	hier	hièr
mînem	DPOSA.Neut.Dat.Sg.st	mînem	mîn
herzen	NA.Neut.Dat.Sg.wk	herzen	hërze
alle	DIA.Masc.Akk.Pl.st	alle	all
tage	NA.Masc.Akk.Pl.st	tage	tag
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
hete	VAFIN.*.Past.Sg.1	hæte	haben
mînen	DPOSA.Masc.Akk.Sg.st	mînen	mîn
boten	NA.Masc.Akk.Sg.wk	boten	bote
gesant	VVPP	gesant	sènten
in	APPR	in	in
iuwers	DPOSA.Masc.Gen.Sg.st	iuwers	iuwer
oeheimes	NA.Masc.Gen.Sg.*	oeheimes	oèhèime
lant	NA.Neut.Akk.Sg.st	lant	lant
und	KON	und	unte
hiez	VVFIN.Ind.Past.Sg.1	hiez	hèizen
iu	PPER.*.Dat.Pl.2	iu	ir
mînen	DPOSA.Masc.Akk.Sg.st	mînen	mîn
kumber	NA.Masc.Akk.Sg.st	kumber	kumber
klagen	VVINF	klagen	klagen
.	$_	.	.
	
sô	AVD	sô	sô
kund	VMFIN.*.Past.Sg.3	kunde	kunnen
im	PPER.Masc.Dat.Sg.3	im	ër
nieman	DIA.*.Nom.Sg.st	nieman	nièmannd
niht	NA.Neut.Akk.Sg.st	niht	niht
gesagen	VVINF	gesagen	gesagen
da	AVD	dâ	dâr
ze	APPR	ze	ze
hove	NA.Masc.Dat.Sg.st	hove	hov
war	AVW	war	ware
ir	PPER.*.Nom.Pl.2	ir	ir
waeret	VAFIN.Subj.Past.Pl.2	wæret	wësen
komen	VVPP	komen	komen
.	$_	.	.
	
dô	KOUS	dô	dô
daz	DDS.Neut.Akk.Sg.*	daz	dër
mîn	DPOSA.Masc.Nom.Sg.*	mîn	mîn
bote	NA.Masc.Nom.Sg.wk	bote	bote
het	VAFIN.*.Past.Sg.3	hæte	haben
vernomen	VVPP	vernomen	vernëmen
,	$_	,	,
dô	AVD	dô	dô
fuor	VVFIN.Ind.Past.Sg.3	vuor	varen
er	PPER.Masc.Nom.Sg.3	er	ër
trûreclîchen	AVD	trûriclîchen	trûriglîche
dan	AVD	danne	danne
,	$_	,	,
daz	DDS.Neut.Akk.Sg.*	daz	dër
sag	VVFIN.*.Pres.Sg.1	sage	sagen
ich	PPER.*.Nom.Sg.1	ich	ich
iu	PPER.*.Dat.Pl.2	iu	ir
,	$_	,	,
vil	AVD	vile	vile
werder	ADJA.Pos.Masc.Nom.Sg.st	werder	wërd
man	NA.Masc.Nom.Sg.st	man	mann
,	$_	,	,
und	KON	und	unte
sagte	VVFIN.*.Past.Sg.3	sagete	sagen
mir	PPER.*.Dat.Sg.1	mir	ich
diu	DDART.Neut.Akk.Pl.*	diu	dër
maere	NA.Neut.Akk.Pl.st	mære	mære
daz	KOUS	daz	dazz
ze	APPR	ze	ze
hove	NA.Masc.Dat.Sg.st	hove	hov
nieman	DIA.*.Nom.Sg.st	nieman	nièmannd
waere	VAFIN.Subj.Past.Sg.3	wære	wësen
der	DRELS.Masc.Nom.Sg	der	dër
im	PPER.Masc.Dat.Sg.3	im	ër
iht	NA.Neut.Akk.Sg.st	iht	iht
gesagen	VVINF	gesagen	gesagen
kunde	VMFIN.Subj.Past.Sg.3	kunde	kunnen
,	$_	,	,
wandaz	KOUS	wan_daz	wan_dazz
ir	PPER.*.Nom.Pl.2	ir	ir
vor	APPR	vore	vore
manger	DIA.Fem.Dat.Sg.st	maniger	manig
stunde	NA.Fem.Dat.Sg.st	stunde	stunte
von	AVD	von	vone
dannen	AVD	dannen	dannen
waert	VAFIN.Subj.Past.Pl.2	wært	wësen
geriten	VVPP	geriten	rîten
verholn	VVPP	verholen	verhëlen
,	$_	,	,
daz	KOUS	daz	dazz
iuwer	DPOSA.Fem.Nom.Sg.*	iuwer	iuwer
vart	NA.Fem.Nom.Sg.st	vart	vart
vor	APPR	vore	vore
in	PPER.*.Dat.Pl.3	in	ër
verstoln	VVPP	verstolen	verstëlen
alsô	AVD	alsô	allsô
gar	AVD	gar	gare
waere	VAFIN.Subj.Past.Sg.3	wære	wësen
:	$_	:	:
si	PPER.*.Nom.Pl.3	si	ër
westen	VVFIN.Subj.Past.Pl.3	westen	wizzen
niht	PTKNEG	niht	niht
diu	DDART.Neut.Akk.Pl.*	diu	dër
maere	NA.Neut.Akk.Pl.st	mære	mære
war	AVW	war	ware
irwaert	AVD	erwert	erwërt
komen	VVPP	komen	komen
,	$_	,	,
daz	DDS.Neut.Nom.Sg.*	daz	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
ir	DPOSA	ire	ire
klage	NA.Fem.Nom.Sg.*	klage	klage
in	APPR	in	in
ir	DPOSA.Neut.Dat.Sg.*	ire	ire
herzen	NA.Neut.Dat.Sg.wk	herzen	hërze
,	$_	,	,
als	KO*	als	allsô
ich	PPER.*.Nom.Sg.1	ich	ich
iu	PPER.*.Dat.Pl.2	iu	ir
sage	VVFIN.*.Pres.Sg.1	sage	sagen
.	$_	.	.
	
der	DDART.Masc.Nom.Sg.*	der	dër
künic	NA.Masc.Nom.Sg.st	küninc	küning
und	KON	und	unte
diu	DDART.Fem.Nom.Sg.*	diu	dër
künigîn	NA.Fem.Nom.Sg.*	küningîn	küninginne
die	DDS.*.Nom.Pl.*	die	dër
liten	VVFIN.*.Past.Pl.3	liten	lîden
umb	APPR	umbe	umbe
iuch	PPER.*.Akk.Pl.2	iuch	ir
grôzen	ADJA.Pos.Masc.Akk.Sg.*	grôzen	grôz
pîn	NA.Masc.Akk.Sg.st	pîn	pîn
,	$_	,	,
si	PPER.*.Nom.Pl.3	si	ër
waennt	VVFIN.Ind.Pres.Pl.3	wænent	<unknown>
si	PPER.*.Nom.Pl.3	si	ër
haben	VAFIN.*.Pres.Pl.3	haben	haben
iuch	PPER.*.Akk.Pl.2	iuch	ir
verlorn	VVPP	verloren	verlièsen
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
sag	VVFIN.*.Pres.Sg.1	sage	sagen
iu	PPER.*.Dat.Pl.2	iu	ir
,	$_	,	,
degen	NA.Masc.Nom.Sg.st	degen	dëgen
ûz	PTKVZ	ûz	ûz
erkorn	ADJN.Masc.Nom.Sg.*	erkoren	erkièsen
,	$_	,	,
umb	APPR	umbe	umbe
iuch	PPER.*.Akk.Pl.2	iuch	ir
was	VAFIN.Ind.Past.Sg.3	was	wësen
michel	ADJA.Pos	michel	michel
klage	NA.Fem.Nom.Sg.*	klage	klage
dâ	AVD	dâ	dâr
.	$_	.	.
	
mîn	DPOSA.Masc.Nom.Sg.*	mîn	mîn
bote	NA.Masc.Nom.Sg.wk	bote	bote
fuor	VVFIN.Ind.Past.Sg.3	vuor	varen
von	AVD	von	vone
dannen	AVD	dannen	dannen
sâ	AVD	sâ	sâr
und	KON	und	unte
brâht	VVFIN.Ind.Past.Sg.3	brâhte	bringen
mir	PPER.*.Dat.Sg.1	mir	ich
leidiu	ADJA.Pos.Neut.Akk.Pl.st	leidiu	lèid
maere	NA.Neut.Akk.Pl.st	mære	mære
,	$_	,	,
daz	KOUS	daz	dazz
ich	PPER.*.Nom.Sg.1	ich	ich
grôze	ADJA.Pos.Fem.Akk.Sg.st	grôze	grôz
swaere	NA.Fem.Akk.Sg.st	swære	swære
gewan	VVFIN.Ind.Past.Sg.1	gewan	gewinnen
an	APPR	an	ane
dem	DDART.Neut.Dat.Sg.*	dem	dër
herzen	NA.Neut.Dat.Sg.wk	herzen	hërze
mîn	DPOSN.Neut.Dat.Sg.wk	mîn	mîn
,	$_	,	,
wandaz	KOUS	wan_daz	wan_dazz
mir	PPER.*.Dat.Sg.1	mir	ich
senftet	VVFIN.Ind.Pres.Sg.3	senftet	sèmften
mînen	DPOSA.Masc.Akk.Sg.st	mînen	mîn
pîn	NA.Masc.Akk.Sg.st	pîn	pîn
mîn	DPOSA.Fem.Nom.Sg.*	mîn	mîn
meisterîn	NA.Fem.Nom.Sg.*	meisterinne	mèisterinne
,	$_	,	,
diu	DDS.Fem.Nom.Sg.*	diu	dër
tet	VVFIN.*.Past.Sg.3	tet	tuon
mir	PPER.*.Dat.Sg.1	mir	ich
kunt	ADJD.Pos	kunt	kund
daz	KOUS	daz	dazz
ir	PPER.*.Nom.Pl.2	ir	ir
her	AVD	her	hëre
kaemt	VVFIN.Ind.Past.Pl.2	<unknown>	komen
in	APPR	in	in
kurzer	ADJA.Pos.Fem.Dat.Sg.st	kurzer	kurz
stunt	NA.Fem.Dat.Sg.st	stunt	stunte
,	$_	,	,
daz	KOUS	daz	dazz
ir	PPER.*.Nom.Pl.2	ir	ir
mir	PPER.*.Dat.Sg.1	mir	ich
kaemet	VVFIN.Subj.Past.Pl.2	kæmet	komen
ze	APPR	ze	ze
trôst	NA.Masc.Dat.Sg.st	trôste	trôst
und	KON	und	unte
ich	PPER.*.Nom.Sg.1	ich	ich
wurd	VAFIN.Subj.Past.Sg.1	würde	wërden
von	APPR	von	von
iu	PPER.*.Dat.Pl.2	iu	ir
erlôst	VVPP	erlôst	erloèsen
von	APPR	von	von
mîner	DPOSA.Fem.Dat.Sg.st	mîner	mîn
grôzen	ADJA.Pos.Fem.Dat.Sg.wk	grôzen	grôz
swaere	NA.Fem.Dat.Sg.st	swære	swære
.	$_	.	.
	
geloubet	VVIMP.Pl.2	geloubet	gelouben
mir	PPER.*.Dat.Sg.1	mir	ich
ein	DIART.Neut.Akk.Sg.*	ein	èin
maere	NA.Fem,Neut.Akk.Sg.st	mære	mære
,	$_	,	,
het	VAFIN.Subj.Past.Sg.3	hæte	haben
si	PPER.Fem.Nom.Sg.3	si	ër
mir	PPER.*.Dat.Sg.1	mir	ich
daz	DDS.Neut.Akk.Sg.*	daz	dër
niht	PTKNEG	niht	niht
gesagt	VVPP	gesaget	sagen
,	$_	,	,
ich	PPER.*.Nom.Sg.1	ich	ich
waer	VAFIN.Subj.Past.Sg.1	wær	wësen
an	APPR	an	ane
fröuden	NA.Fem.Dat.Pl.*	vröuweden	vröuwede
gar	AVD	gar	gare
verzagt	VVPP	verzaget	verzagen
.	$_	.	.
	
nu	AVD	nû	nû
habt	VAFIN.*.Pres.Pl.2	habet	haben
ir	PPER.*.Nom.Pl.2	ir	ir
,	$_	,	,
herre	NA.Masc.Nom.Sg.*	hêrre	hêrre
,	$_	,	,
an	APPR	an	ane
mir	PPER.*.Dat.Sg.1	mir	ich
getân	VVPP	getân	tuon
iwer	DPOSA.Fem.Akk.Sg.*	iuwer	iuwer
triuwe	NA.Fem.Akk.Sg.st	triuwe	triuwe
,	$_	,	,
tugenthafter	ADJA.Pos.Masc.Nom.Sg.st	tugenthafter	tugendhaft
man	NA.Masc.Nom.Sg.st	man	mann
.	$_	.	.
	
daz	KOUS	daz	dazz
ir	PPER.*.Nom.Pl.2	ir	ir
niht	PTKNEG	niht	niht
habt	VAFIN.*.Pres.Pl.2	habet	haben
vergezzen	VVPP	vergezzen	vergëzzen
mîn	PPER.*.Gen.Sg.1	mîn	ich
,	$_	,	,
darumbe	PAVD|PAVAP	dâr|umbe	dâr|umbe
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
ich	PPER.*.Nom.Sg.1	ich	ich
immer	AVD	iemer	ièmer
sîn	VAINF	sîn	sîn
swie	AVG	swie	swiè
ir	PPER.*.Nom.Pl.2	ir	ir
gebiett	VVFIN.*.Pres.Pl.2	gebietet	gebièten
und	KON	und	unte
swie	AVG	swie	swiè
ir	PPER.*.Nom.Pl.2	ir	ir
welt	VMFIN.*.Pres.Pl.2	wellt	wèllen
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
bevilh	VVFIN.Ind.Pres.Sg.1	bevilhe	bevëlhen
iu	PPER.*.Dat.Pl.2	iu	ir
,	$_	,	,
vil	AVD	vile	vile
werder	ADJA.Pos.Masc.Nom.Sg.st	werder	wërd
helt	NA.Masc.Nom.Sg.st	helt	hèled
,	$_	,	,
mich	PPER.*.Akk.Sg.1	mich	ich
selben	DDS.Masc.Akk.Sg.st	selben	sëlb
,	$_	,	,
liute	NA.Masc,Neut.Akk.Pl.st	liute	liut
unde	KON	unde	unte
lant	NA.Neut.Akk.Sg.st	lant	lant
:	$_	:	:
daz	DDS.Neut.Akk.Sg.*	daz	dër
sol	VMFIN.Ind.Pres.Sg.3	sol	solen
warten	VVINF	warten	warten
iuwerr	DPOSA.Fem.Nom.Sg.*	iuwer	iuwer
hant	NA.Fem.Dat.Sg.st	hant	hant
.	$_	.	.
	
mîn	DPOSA	mîn	mîn
oeheim	NA.Masc.Nom.Sg.*	oeheim	oèhèime
wolt	VMFIN.*.Past.Sg.3	wolte	wèllen
mich	PPER.*.Akk.Sg.1	mich	ich
twingen	VVINF	twingen	dwingen
ze	APPR	ze	ze
wunderlîchen	ADJA.Pos.*.Dat.Pl.*	wunderlîchen	wunterlich
dingen	NA.Neut.Dat.Pl.st	dingen	ding
,	$_	,	,
daz	DRELS.Neut.Akk.Sg	daz	dër
ich	PPER.*.Nom.Sg.1	ich	ich
het	VAFIN.*.Past.Sg.1	hæte	haben
genomen	VVPP	genomen	nëmen
den	DDART.Masc.Akk.Sg.*	den	dër
man	NA.Masc.Akk.Sg.st	man	mann
dem	DRELS.Masc.Dat.Sg	dem	dër
ir	PPER.*.Nom.Pl.2	ir	ir
dâ	AVD	dâ	dâr
habt	VAFIN.*.Pres.Pl.2	habet	haben
gesiget	VVPP	gesiget	gesigen
an	APPR	an	ane
,	$_	,	,
durchdaz	KOUS	durch_daz	durh_dazz
er	PPER.Masc.Nom.Sg.3	er	ër
sîn	DPOSA	sîn	sîn
swester	NA.Fem.Akk.Sg.st	swester	swëster
hât	VAFIN.Ind.Pres.Sg.3	hât	haben
.	$_	.	.
	
herre	NA.Masc.Nom.Sg.*	hêrre	hêrre
,	$_	,	,
mîn	PPER.*.Gen.Sg.1	mîn	ich
werde	VAFIN.Subj.Pres.Sg.3	werde	wërden
nimmer	AVD	niemer	nièmer
rât	NA.Masc.Nom.Sg.st	rât	rât
,	$_	,	,
êdaz	KO*	ê_daz	ê_dazz
ich	PPER.*.Nom.Sg.1	ich	ich
iuch	PPER.*.Akk.Pl.2	iuch	ir
het	VAFIN.*.Past.Sg.1	hæte	haben
verkorn>	VVPP	verkoren	verkièsen
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
diu	DDART.Fem.Nom.Sg.*	diu	dër
maget	NA.Fem.Nom.Sg.st	maget	maged
wolgeborn	ADJN	wolegeboren	wolegeboren
<	AVD	an	ane
mit	APPR	mit	mit
keinem	DIA.Masc.Dat.Sg.st	keinem	kèin
anderen	DIA.Masc.Dat.Sg.wk	anderen	ander
man	NA.Masc.Dat.Sg.st	manne	mann
,	$_	,	,
ich	PPER.*.Nom.Sg.1	ich	ich
wolt	VMFIN.Subj.Past.Sg.1	wolte	wèllen
ê	AVD	êr	êr
verlorn	VVPP	verloren	verlièsen
hân	VAINF	hân	haben
beide	KON	beide	bèide
guot	NA.Neut.Akk.Sg.st	guot	guot
unde	KON	unde	unte
lîp	NA.Masc.Akk.Sg.st	lîp	lîb
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
wirde	VAFIN.Ind.Pres.Sg.1	wirde	wërden
nimmer	AVD	niemer	nièmer
mannes	NA.Masc.Gen.Sg.st	mannes	mann
wîp	NA.Neut.Nom.Sg.st	wîp	wîb
wan	KOKOM	wan	wan
iwer	DPOSA.Masc.Nom.Sg.*	iuwer	iuwer
,	$_	,	,
ich	PPER.*.Nom.Sg.1	ich	ich
hân	VAFIN.Ind.Pres.Sg.1	hân	haben
mir	PPER.*.Dat.Sg.1	mir	ich
iuch	PPER.*.Akk.Pl.2	iuch	ir
erkorn	VVPP	erkoren	erkièsen
.	$_	.	.
	
mîn	DPOSA	mîn	mîn
gedinge	NA.Masc.Nom.Sg.st	gedinge	gedinge
der	DDS.Masc.Nom.Sg.*	der	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
niht	PTKNEG	niht	niht
verlorn	VVPP	verloren	verlièsen
,	$_	,	,
herre	NA.Masc.Nom.Sg.*	hêrre	hêrre
,	$_	,	,
den	DRELS.Masc.Akk.Sg	den	dër
ich	PPER.*.Nom.Sg.1	ich	ich
gên	APPR	gein	gègen
iu	PPER.*.Dat.Pl.2	iu	ir
hân	VAFIN.Ind.Pres.Sg.1	hân	haben
.	$_	.	.
	
nu	AVD	nû	nû
wert	VVIMP.Pl.2	wert	wèren
,	$_	,	,
tugenthafter	ADJA.Pos.Masc.Nom.Sg.st	tugenthafter	tugendhaft
man	NA.Masc.Nom.Sg.st	man	mann
,	$_	,	,
iuch	PPER.*.Akk.Pl.2	iuch	ir
selben	DDS.*.Akk.Pl.wk	selben	sëlb
unde	KON	unde	unte
iuwer	DPOSA	iuwer	iuwer
lant	NA.Neut.Nom.Sg.st	lant	lant
,	$_	,	,
sît	KOUS	sît	sîd
iuch	PPER.*.Akk.Pl.2	iuch	ir
got	NA.Masc.Nom.Sg.st	got	got
her	AVD	her	hëre
hât	VAFIN.Ind.Pres.Sg.3	hât	haben
gesant.(	VVPP	gesant	sènten
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
diu	DDART.Fem.Nom.Sg.*	diu	dër
maget	NA.Fem.Nom.Sg.st	maget	maged
werd	VAFIN.Subj.Pres.Sg.3	werde	wërden
erkant	VVPP	erkant	erkènnen
)	$_	)	)
allez	DIS.Neut.Akk.Sg.st	allez	all
daz	DRELS.Neut.Nom.Sg	daz	dër
dâ	AVD	dâ	dâr
heizet	VVFIN.Ind.Pres.Sg.3	heizet	hèizen
mîn	DPOSA	mîn	mîn
,	$_	,	,
für	APPR	vüre	vüre
wâr	NA.Neut.Akk.Sg.st	wâr	wâr
daz	DDS.Neut.Akk.Sg.*	daz	dër
muoz	VMFIN.Ind.Pres.Sg.3	muoz	müèzen
iuwer	PPER.*.Gen.Pl.2	iuwer	ir
sîn.><frowe>	NA.Fem.Akk.Sg.st	sincvrouwe	sinnervrouwe
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
der	DDART.Masc.Nom.Sg.*	der	dër
werde	ADJA.Pos.Masc.Nom.Sg.wk	werde	wërd
man	NA.Masc.Nom.Sg.st	man	mann
,	$_	,	,
<swer	PG.Masc.Nom.Sg.st	swer	swër
iu	PPER.*.Dat.Pl.2	iu	ir
iht	NA.Neut.Akk.Sg.st	iht	iht
tuot	VVFIN.Ind.Pres.Sg.3	tuot	tuon
od	KON	oder	oder
hât	VAFIN.Ind.Pres.Sg.3	hât	haben
getân	VVPP	getân	tuon
,	$_	,	,
daz	DDS.Neut.Akk.Sg.*	daz	dër
hilf	VVFIN.Ind.Pres.Sg.1	hilfe	hëlfen
ich	PPER.*.Nom.Sg.1	ich	ich
rechen	VVINF	rechen	rëchen
,	$_	,	,
frowe	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
mîn	DPOSN.Fem.Nom.Sg.*	mîn	mîn
:	$_	:	:
des	DDS.Neut.Gen.Sg.*	des	dër
solt	VMFIN.*.Pres.Pl.2	solet	solen
ir	PPER.Fem.Dat.Sg.3	ir	ër
gar	AVD	gar	gare
ân	APPR	âne	âne
angest	NA.Fem,Masc.Akk.Sg.st	angest	angest
sîn.>	DPOSA.Masc.Gen.Sg.st	sînes	sîn
meleranz	NE.Nom.Sg	Meleranz	Meleranz
der	DDS.Masc.Nom.Sg.*	der	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
frô	ADJD.Pos	vrô	vrô
.	$_	.	.
	
diu	DDART.Fem.Nom.Sg.*	diu	dër
juncfrowe	NA.Fem.Nom.Sg.*	juncvrouwe	jungvrouwe
clagt	VVFIN.*.Past.Sg.3	klagete	klagen
im	PPER.Masc.Dat.Sg.3	im	ër
dô	AVD	dô	dô
daz	KOUS	daz	dazz
ir	PPER.Fem.Dat.Sg.3	ir	ër
ir	PPER.Fem.Dat.Sg.3	ir	ër
oeheim	NA.Masc.Nom.Sg.*	oeheim	oèhèime
tet	VVFIN.*.Past.Sg.3	tet	tuon
gewalt	NA.Fem,Masc.Akk.Sg.st	gewalt	gewalt
.	$_	.	.
	
<	FM	-	-
sîn	DPOSA.Neut.Nom.Sg.*	sîn	sîn
twingen	NA.Neut.Nom.Sg.st	twingen	dwingen
daz	DDS.Neut.Nom.Sg.*	daz	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
mannicvalt	ADJD.Pos	manicvalt	manigvalt
,	$_	,	,
herre	NA.Masc.Nom.Sg.*	hêrre	hêrre
mîn	DPOSN.Masc.Nom.Sg.*	mîn	mîn
,	$_	,	,
daz	DRELS.Neut.Akk.Sg	daz	dër
er	PPER.Masc.Nom.Sg.3	er	ër
mir	PPER.*.Dat.Sg.1	mir	ich
tuot	VVFIN.Ind.Pres.Sg.3	tuot	tuon
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
wil	VMFIN.Ind.Pres.Sg.3	wile	wèllen
mir	PPER.*.Dat.Sg.1	mir	ich
lant	NA.Neut.Akk.Sg.st	lant	lant
unde	KON	unde	unte
guot	NA.Neut.Akk.Sg.st	guot	guot
nemen	VVINF	nemen	nëmen
und	KON	und	unte
wil	VMFIN.Ind.Pres.Sg.3	wile	wèllen
verderben	VVINF	verderben	verdërben
mich	PPER.*.Akk.Sg.1	mich	ich
,	$_	,	,
umb	APPR	umbe	umbe
anders	DIS.Neut.Gen.Sg.st	anders	ander
niht	NA.Neut.Akk.Sg.st	niht	niht
wandaz	KOUS	wan_daz	wan_dazz
ich	PPER.*.Nom.Sg.1	ich	ich
niht	PTKNEG	niht	niht
wolde	VMFIN.*.Past.Sg.1	wolte	wèllen
nemen	VVINF	nemen	nëmen
einen	DIART.Masc.Akk.Sg.st	einen	èin
man	NA.Masc.Akk.Sg.st	man	mann
,	$_	,	,
als	KO*	als	allsô
ich	PPER.*.Nom.Sg.1	ich	ich
iu	PPER.*.Dat.Pl.2	iu	ir
gesaget	VVPP	gesaget	sagen
hân	VAFIN.Ind.Pres.Sg.1	hân	haben
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
giht	VVFIN.Ind.Pres.Sg.3	jihet	jëhen
mîn	DPOSA	mîn	mîn
lant	NA.Neut.Nom.Sg.st	lant	lant
sül	VMFIN.Subj.Pres.Sg.3	sule	solen
wesen	VAINF	wesen	wësen
sîn	VAINF	sîn	sîn
daz	DRELS.Neut.Akk.Sg	daz	dër
mir	PPER.*.Dat.Sg.1	mir	ich
liez	VVFIN.Ind.Past.Sg.3	liez	lâzen
der	DDART.Masc.Nom.Sg.*	der	dër
vater	NA.Masc.Nom.Sg.st	vater	vater
mîn	DPOSN.Masc.Nom.Sg.wk	mîn	mîn
.	$_	.	.
	
het	VAFIN.Subj.Past.Sg.1	hæte	haben
ich	PPER.*.Nom.Sg.1	ich	ich
sînen	DPOSA.Masc.Akk.Sg.st	sînen	sîn
willen	NA.Masc.Akk.Sg.*	willen	wille
getân	VVPP	getân	tuon
,	$_	,	,
sô	AVD	sô	sô
het	VAFIN.Subj.Past.Sg.3	hæte	haben
er	PPER.Masc.Nom.Sg.3	er	ër
mir	PPER.*.Dat.Sg.1	mir	ich
mîn	DPOSA	mîn	mîn
lant	NA.Neut.Akk.Sg.st	lant	lant
gelân	VVPP	gelân	lâzen
.	$_	.	.
	
nu	AVD	nû	nû
wil	VMFIN.Ind.Pres.Sg.3	wile	wèllen
er	PPER.Masc.Nom.Sg.3	er	ër
mich	PPER.*.Akk.Sg.1	mich	ich
verderben	VVINF	verderben	verdërben
:	$_	:	:
er	PPER.Masc.Nom.Sg.3	er	ër
giht	VVFIN.Ind.Pres.Sg.3	jihet	jëhen
ez	PPER.Neut.Nom.Sg.3	ez	ër
sül	VMFIN.Subj.Pres.Sg.3	sule	solen
in	PPER.Masc.Akk.Sg.3	in	ër
an	PTKVZ	an	ane
erben	VVINF	erben	èrben
von	APPR	von	von
mîner	DPOSA.Fem.Dat.Sg.st	mîner	mîn
muoter	NA.Fem.Dat.Sg.st	muoter	muoter
,	$_	,	,
diu	DDS.Fem.Nom.Sg.*	diu	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
sîn	DPOSA	sîn	sîn
swester	NA.Fem.Nom.Sg.st	swester	swëster
.	$_	.	.
	
sîn	DPOSA.Masc.Nom.Sg.*	sîn	sîn
bote	NA.Masc.Nom.Sg.wk	bote	bote
was	VAFIN.Ind.Past.Sg.3	was	wësen
bî	APPR	bî	bî
mir	PPER.*.Dat.Sg.1	mir	ich
gester	ADJD.Pos	gester	gast
und	KON	und	unte
embôt	VVFIN.Ind.Past.Sg.3	entbôt	entbièten
mir	PPER.*.Dat.Sg.1	mir	ich
,	$_	,	,
naem	VVFIN.Subj.Past.Sg.1	næme	nëmen
ich	PPER.*.Nom.Sg.1	ich	ich
niht	PTKNEG	niht	niht
den	DDART.Masc.Akk.Sg.*	den	dër
man	NA.Masc.Akk.Sg.st	man	mann
,	$_	,	,
sô	AVD	sô	sô
wolt	VMFIN.*.Past.Sg.3	wolte	wèllen
er	PPER.Masc.Nom.Sg.3	er	ër
niht	PTKNEG	niht	niht
langer	AVD	langer	lange
lân	VVINF	lân	lâzen
,	$_	,	,
er	PPER.Masc.Nom.Sg.3	er	ër
wolt	VMFIN.Subj.Past.Sg.3	wolte	wèllen
in	APPR	in	in
mîn	DPOSA	mîn	mîn
lant	NA.Neut.Akk.Sg.st	lant	lant
varn	VVINF	varn	varen
und	KON	und	unte
wolt	VMFIN.*.Past.Sg.3	wolte	wèllen
die	DDART.Fem.Akk.Sg.*	die	dër
vart	NA.Fem.Akk.Sg.st	vart	vart
niht	PTKNEG	niht	niht
langer	AVD	langer	lange
sparn	VVINF	sparn	sparen
und	KON	und	unte
sich	PRF.Akk.*.*	sich	sich
des	DDS.Neut.Gen.Sg.*	des	dër
underwinden	VVINF	underwinten	unterwinten
,	$_	,	,
sît	KOUS	sît	sîd
er	PPER.Masc.Nom.Sg.3	er	ër
niht	PTKNEG	niht	niht
mohte	VMFIN.*.Past.Sg.3	mohte	mügen
vinden	VVINF	vinden	vinden
daz	KOUS	daz	dazz
im	PPER.Masc.Dat.Sg.3	im	ër
liep	ADJD.Pos	liep	lièb
waer	VAFIN.Subj.Past.Sg.3	wær	wësen
an	APPR	an	ane
mir	PPER.*.Dat.Sg.1	mir	ich
sô	AVD	sô	sô
wolt	VMFIN.*.Past.Sg.3	wolte	wèllen
er	PPER.Masc.Nom.Sg.3	er	ër
mich	PPER.*.Akk.Sg.1	mich	ich
vil	AVD	vile	vile
schier	AVD	schier	schière
von	APPR	von	von
mînem	DPOSA.Neut.Dat.Sg.st	mînem	mîn
lant	NA.Neut.Dat.Sg.st	lande	lant
vertrîben	VVINF	vertrîben	vertrîben
.	$_	.	.
	
sol	VMFIN.Ind.Pres.Sg.1	sol	solen
ich	PPER.*.Nom.Sg.1	ich	ich
nu	AVD	nû	nû
belîben	VVINF	belîben	belîben
bî	APPR	bî	bî
dem	DDART.Neut.Dat.Sg.*	dem	dër
lant	NA.Neut.Dat.Sg.st	lande	lant
und	KON	und	unte
bî	APPR	bî	bî
den	DDART.*.Dat.Pl.*	den	dër
êren	NA.Fem.Dat.Pl.*	êren	êre
mîn	DPOSN.*.Dat.Pl.*	mîn	mîn
,	$_	,	,
daz	DDS.Neut.Nom.Sg.*	daz	dër
muoz	VMFIN.Ind.Pres.Sg.3	muoz	müèzen
mit	APPR	mit	mit
iuwerr	DPOSA.Fem.Dat.Sg.st	iuwerr	iuwer
hilfe	NA.Fem.Dat.Sg.st	helfe	hëlfe
sîn	VAINF	sîn	sîn
,	$_	,	,
sît	KOUS	sît	sîd
iuch	PPER.*.Akk.Pl.2	iuch	ir
got	NA.Masc.Nom.Sg.st	got	got
