welt	VMFIN.*.Pres.Pl.2	wellt	wèllen
,	$_	,	,
ob	KOUS	ob	obe
si	PPER.*.Nom.Pl.3	si	ër
weln	VMFIN.*.Pres.Pl.3	welln	wèllen
genesen	VVINF	genesen	genësen
!	$_	!	!
	
>daz	DDS.Neut.Nom.Sg.*	daz	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
sîn	PPER.Masc.Gen.Sg.3	sîn	ër
allerleste	ADJA.Sup.Neut.Nom.Sg.st	allerlezzestez	allerlèzzest
wart	NA.Neut.Nom.Sg.st	wort	wort
.	$_	.	.
	
ûf	APPR	ûf	ûf
den	DDART.Masc.Akk.Sg.*	den	dër
recken	NA.Masc.Akk.Sg.wk	recken	rècke
alphart	NE.Akk.Sg	Alphart	Albhart
viel	VVFIN.Ind.Past.Sg.3	viel	vallen
er	PPER.Masc.Nom.Sg.3	er	ër
tôter	ADJD.Pos	tôter	tôt
dâ	PAVD	dâ	dâr
nider	PAVAP	nider	nidere
.	$_	.	.
	
daz	DDS.Neut.Akk.Sg.*	daz	dër
wolde	VMFIN.*.Past.Sg.3	wolte	wèllen
rechen	VVINF	rechen	rëchen
sider	AVD	sider	sider
reinhêr	NE.Nom.Sg	Reinher	Rèinhèr
von	APPR	von	von
pârîse	NE.Dat.Sg	Parîse	Parîs
.	$_	.	.
	
der	DDART.Masc.Nom.Sg.*	der	dër
starke	ADJA.Pos.Masc.Nom.Sg.wk	starke	stark
und	KON	und	unte
der	DDART.Masc.Nom.Sg.*	der	dër
wîse	ADJA.Pos.Masc.Nom.Sg.wk	wîse	wîse
brâhte	VVFIN.Ind.Past.Sg.3	brâhte	bringen
kurzlîchen	AVD	kurzlîchen	kurzlîche
dar	AVD	dar	dâr
zwelf	CARDA.Fem.Akk.Pl.*	zwelif	zwèliv
hêrlîche	ADJA.Pos.Fem.Akk.Pl.st	hêrlîche	hêrlich
schar	NA.Fem.Akk.Pl.st	schar	schare
,	$_	,	,
in	APPR	in	in
ieslîcher	DIA.Fem.Dat.Sg.st	ieteslîcher	ièteslich
schare	NA.Fem.Dat.Sg.st	schare	schare
breit	ADJN.Fem.Dat.Sg.*	breit	brèit
riten	VVFIN.*.Past.Pl.3	riten	rîten
tûsent	ADJA.Pos.Masc.Nom.Pl.*	tûsent	tûsent
recken	NA.Masc.Nom.Pl.wk	recken	rècke
gemeit	ADJN.Masc.Nom.Pl.*	gemeit	gemèit
.	$_	.	.
	
manege	DIA.Fem.Nom.Sg.st	manige	manig
brünne	NA.Fem.Nom.Sg.*	brünne	brünne
staelîn	VVFIN.*.Past.Pl.3	<unknown>	stèllen
,	$_	,	,
die	DDART.*.Nom.Pl.*	die	dër
besten	ADJA.Sup.*.Nom.Pl.wk	bezzisten	bèzzist
die	DRELS.*.Nom.Pl	die	dër
dâ	AVD	dâ	dâr
mohten	VMFIN.*.Past.Pl.3	mohten	mügen
sîn	VAINF	sîn	sîn
,	$_	,	,
dâ	PAVD	dâ	dâr
wâren	VAFIN.Ind.Past.Pl.3	wâren	wësen
si	PPER.*.Nom.Pl.3	si	ër
gewâpent	VVPP	gewâpenet	wâfenen
in	PAVAP	in	in
.	$_	.	.
	
<	KOUS	ob	êr
ich	PPER.*.Nom.Sg.1	ich	ich
sihe	VVFIN.Ind.Pres.Sg.1	sihe	sëhen
wol	AVD	wole	wole
,	$_	,	,
wir	PPER.*.Nom.Pl.1	wir	wir
komen	VVFIN.*.Pres.Pl.1	komen	komen
nimmer	AVD	niemer	nièmer
hin>	AVD	hin	hine
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
von	APPR	von	von
lunders	NE.Dat.Sg	Lunders	Lunders
helphrîch	NE.Nom.Sg	Helpfrîch	Helpfrîch
.	$_	.	.
	
<edel	ADJA.Pos	edel	èdele
künec	NA.Masc.Nom.Sg.st	küninc	küning
von	APPR	von	von
roemisch	ADJA.Pos.Neut.Dat.Sg.*	roemisch	roèmisch
rîch	NA.Neut.Dat.Sg.st	rîche	rîche
,	$_	,	,
wir	PPER.*.Nom.Pl.1	wir	wir
sulnz	VMFIN.*.Pres.Pl.1|PPER.Neut.Akk.Sg.3	sulen|ez	solen|ër
enouwe	AVD	enouwe	enouwe
lâzen	VVINF	lâzen	lâzen
gân	VVINF	gân	gân
,	$_	,	,
sît	KOUS	sît	sîd
hie	AVD	hier	hièr
nieman	DIA.*.Nom.Sg.st	nieman	nièmannd
genesen	VVINF	genesen	genësen
kan.>	VMFIN.Ind.Pres.Sg.3	kan	kunnen
<daz	DDS.Neut.Nom.Sg.*	daz	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
mir	PPER.*.Dat.Sg.1	mir	ich
ouch	AVD	ouch	ouch
als	AVD	als	allsô
maere>	ADJD.Pos	mære	mære
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
der	DDART.Masc.Nom.Sg.*	der	dër
bernaere	NA.Masc.Nom.Sg.st	Bernære	Bërnere
,	$_	,	,
<ob	KOUS	ob	obe
ich	PPER.*.Nom.Sg.1	ich	ich
hie	AVD	hier	hièr
gelige	VVFIN.*.Pres.Sg.1	gelige	geligen
tôt	ADJD.Pos	tôt	tôt
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
muoz	VMFIN.Ind.Pres.Sg.1	muoz	müèzen
mîner	DPOSA.Fem.Gen.Sg.st	mîner	mîn
starken	ADJA.Pos.Fem.Gen.Sg.wk	starken	stark
nôt	NA.Fem.Gen.Sg.st	nôt	nôt
hie	AVD	hier	hièr
an	APPR	an	ane
ein	DIART.Masc,Neut.Akk.Sg.*	ein	èin
ende	NA.Masc,Neut.Akk.Sg.st	ende	ènte
komen	VVINF	komen	komen
od	KON	oder	oder
mir	PPER.*.Dat.Sg.1	mir	ich
werd	VAFIN.Subj.Pres.Sg.3	werde	wërden
der	DDART.Masc.Nom.Sg.*	der	dër
lîp	NA.Masc.Nom.Sg.st	lîp	lîb
benomen	VVPP	benomen	benëmen
.	$_	.	.
	
wir	PPER.*.Nom.Pl.1	wir	wir
hân	VAFIN.*.Pres.Pl.1	hân	haben
noch	AVD	noch	noh
recken	NA.Masc.Akk.Pl.wk	recken	rècke
wol	AVD	wole	wole
gesunt	ADJN.Masc.Akk.Pl.*	gesunt	gesunt
und	KON	und	unte
hân	VAFIN.*.Pres.Pl.1	hân	haben
geaht	VVPP	geahtet	geahten
an	APPR	an	ane
dirre	DDA.Fem.Dat.Sg.*	dirre	dise
stunt	NA.Fem.Dat.Sg.st	stunt	stunte
,	$_	,	,
waz	PW.Neut.Akk.Sg.st	waz	wër
wir	PPER.*.Nom.Pl.1	wir	wir
liute	NA.Masc,Neut.Gen.Pl.st	liute	liut
mugen	VMFIN.*.Pres.Pl.1	mügen	mügen
hân	VAINF	hân	haben
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
waen	VVFIN.Ind.Pres.Sg.1	wænen	wænen
wol	AVD	wole	wole
drîzec	CARDA.Masc.Akk.Pl.*	drîzic	drîzig
tûsent	ADJA.Pos.Masc.Akk.Pl.*	tûsent	tûsent
man	NA.Masc.Akk.Pl.st	manne	mann
hab	VAFIN.*.Pres.Pl.1	haben	haben
wir	PPER.*.Nom.Pl.1	wir	wir
noch	AVD	noch	noh
volleclîchen.>	AVD	volliclîchen	volliglîche
<nû	AVD	<unknown>	nû
lâz	VVFIN.*.Pres.Pl.1	lâzen	lâzen
wir	PPER.*.Nom.Pl.1	wir	wir
dâ	AVD	dâ	dâr
strîchen>	VVINF	strîchen	strîchen
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
dietleip	NE.Nom.Sg	Dietleip	Diètlèib
von	APPR	von	von
stîrelant	NE.Dat.Sg	Stîrelande	Stîrelant
.	$_	.	.
	
dô	AVD	dô	dô
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
gewegen	VVPP	gewegen	wëgen
alzehant	AVD	alzehant	allzehant
sehs	CARDA	sehs	sëhs
schar	NA.Fem.Nom.Pl.st	schar	schare
hêrlîche	ADJN	hêrlîche	hêrlich
.	$_	.	.
	
dietleip	NE.Nom.Sg	Dietleip	Diètlèib
der	DDART.Masc.Nom.Sg.*	der	dër
ellensrîche	ADJA.Pos.Masc.Nom.Sg.wk	ellentrîche	èllensrîche
was	VAFIN.Ind.Past.Sg.3	was	wësen
ir	PPER.*.Gen.Pl.3	ir	ër
aller	DIS.*.Gen.Pl.st	aller	all
houptman	NA.Masc.Nom.Sg.st	houbetman	houbetmann
.	$_	.	.
	
als	KO*	als	allsô
ich	PPER.*.Nom.Sg.1	ich	ich
vür	APPR	vür	vüre
wâr	NA.Neut.Akk.Sg.st	wâr	wâr
vernomen	VVPP	vernomen	vernëmen
hân	VAFIN.Ind.Pres.Sg.1	hân	haben
,	$_	,	,
si	PPER.*.Nom.Pl.3	si	ër
heten	VAFIN.*.Past.Pl.3	hæten	haben
slehtes	AVD	slehtes	slëhtes
sich	PRF.Akk.*.*	sich	sich
bewegen	VVPP	bewegen	bewëgen
,	$_	,	,
alle	DIA.Masc.Nom.Pl.st	alle	all
die	DDART.Masc.Nom.Pl.*	die	dër
dietrîches	NE.Gen.Sg	Dieterîches	Dièterîch
degen	NA.Masc.Nom.Pl.st	degene	dëgen
,	$_	,	,
lîbes	NA.Masc.Gen.Sg.st	lîbes	lîb
unde	KON	unde	unte
guotes	NA.Neut.Gen.Sg.st	guotes	guot
.	$_	.	.
	
si	PPER.*.Nom.Pl.3	si	ër
wâren	VAFIN.Ind.Past.Pl.3	wâren	wësen
eines	CARDA.Masc.Gen.Sg.st	eines	èin
muotes	NA.Masc,Neut.Gen.Sg.st	muotes	muot
:	$_	:	:
daz	DDS.Neut.Akk.Sg.*	daz	dër
erzeigten	VVFIN.*.Past.Pl.3	erzeigten	erzèigen
si	PPER.*.Nom.Pl.3	si	ër
des	DDART.Masc.Gen.Sg.*	des	dër
tages	NA.Masc.Gen.Sg.st	tages	tag
wol	AVD	wole	wole
.	$_	.	.
	
noch	AVD	noch	noh
mêre	AVD.Comp	mêre	mêre
ich	PPER.*.Nom.Sg.1	ich	ich
iu	PPER.*.Dat.Pl.2	iu	ir
sagen	VVINF	sagen	sagen
sol	VMFIN.Ind.Pres.Sg.1	sol	solen
.	$_	.	.
	
die	DDART.Masc.Nom.Pl.*	die	dër
allertiuristen	ADJA.Sup.*.Nom.Pl.wk	allertiuresten	allertiurest
man	NA.Masc.Nom.Pl.st	manne	mann
,	$_	,	,
die	DRELS.Masc.Akk.Pl	die	dër
der	DDS.Masc.Nom.Sg.*	der	dër
von	APPR	von	von
berne	NE.Dat.Sg	Berne	Bërne
mohte	VMFIN.*.Past.Sg.3	mohte	mügen
hân	VAINF	hân	haben
,	$_	,	,
die	DDS.Masc.Nom.Pl.*	die	dër
wurden	VAFIN.*.Past.Pl.3	wurden	wërden
gewegen	VVPP	gewegen	wëgen
in	APPR	in	in
den	DDART.Masc.Akk.Sg.*	den	dër
strît	NA.Masc.Akk.Sg.st	strît	strît
.	$_	.	.
	
dô	AVD	dô	dô
was	VAFIN.Ind.Past.Sg.3	was	wësen
ez	PPER.Neut.Nom.Sg.3	ez	ër
komen	VVPP	komen	komen
an	APPR	an	ane
die	DDART.Fem.Akk.Sg.*	die	dër
zît	NA.Fem.Akk.Sg.st	zît	zît
,	$_	,	,
daz	KOUS	daz	dazz
die	DDART.*.Nom.Pl.*	die	dër
vînde	NA.Masc.Nom.Pl.st	vîande	vîent
mit	APPR	mit	mit
ir	DPOSA	ire	ire
schar	NA.Fem.Dat.Sg.st	schar	schare
begunden	VVFIN.*.Past.Pl.3	begunden	beginnen
staphen(	VVINF	stapfen	stapfen
daz	DDS.Neut.Nom.Sg.*	daz	dër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
wâr	ADJD.Pos	wâr	wâr
)	$_	)	)
gegen	APPR	gegen	gègen
dem	DDS.Masc.Dat.Sg.*	dem	dër
von	APPR	von	von
roemisch	ADJA.Pos.Neut.Dat.Sg.*	roemisch	roèmisch
lant	NA.Neut.Dat.Sg.st	lande	lant
.	$_	.	.
	
dô	AVD	dô	dô
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
her	NA.Masc.Nom.Sg.*	hêrr	hêrre
dietrîch	NE.Nom.Sg	Dieterîch	Dièterîch
zehant	AVD	zehant	zehant
<	APPR	umbe	in
nûtrâ,	$_	<unknown>	<unknown>
recken	NA.Masc.Nom.Pl.wk	recken	rècke
hôchgemuot	ADJN.Masc.Nom.Sg.*	hôchgemuot	hôhgemuot
!	$_	!	!
	
>daz	DDS.Neut.Akk.Sg.*	daz	dër
tâten	VVFIN.Ind.Past.Pl.3	tâten	tuon
ouch	AVD	ouch	ouch
die	DDART.Masc.Nom.Pl.*	die	dër
helde	NA.Masc.Nom.Pl.st	helde	hèled
guot	ADJN.Masc.Nom.Pl.*	guot	guot
.	$_	.	.
	
von	APPR	von	von
stat	NA.Fem.Dat.Sg.st	stat	stat
triben	VVFIN.*.Past.Pl.3	triben	trîben
si	PPER.*.Nom.Pl.3	si	ër
diu	DDART.Neut.Akk.Pl.*	diu	dër
marc	NA.Neut.Akk.Pl.st	marc	mark
.	$_	.	.
	
si	PPER.*.Nom.Pl.3	si	ër
kômen	VVFIN.Ind.Past.Pl.3	kômen	komen
dar	AVD	dar	dâr
mit	APPR	mit	mit
nîde	NA.Masc.Dat.Sg.st	nîde	nîd
starc	AVD	starke	starke
ûf	APPR	ûf	ûf
einander	DIA	einander	èinander
geriten	VVPP	geriten	rîten
.	$_	.	.
	
dâ	AVD	dâ	dâr
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
langer	AVD	langer	lange
niht	PTKNEG	niht	niht
gebiten	VVPP	gebiten	bîten
,	$_	,	,
sâ	AVD	sâ	sâr
zuo	APPR	zuo	ze
den	DDART.*.Dat.Pl.*	den	dër
handen	NA.Fem.Dat.Pl.st	handen	hant
diu	DDART.Neut.Nom.Pl.*	diu	dër
swert	NA.Neut.Nom.Pl.st	swert	swërt
.	$_	.	.
	
dâ	AVD	dâ	dâr
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
strîtes	NA.Masc.Gen.Sg.st	strîtes	strît
gegert	VVPP	gegert	gëren
mit	APPR	mit	mit
nîdigem	ADJA.Pos.Masc,Neut.Dat.Sg.st	nîdigem	nîdig
muote	NA.Masc,Neut.Dat.Sg.st	muote	muot
.	$_	.	.
	
die	DDART.Masc.Nom.Pl.*	die	dër
küenen	ADJA.Pos.*.Nom.Pl.wk	küenen	küène
helde	NA.Masc.Nom.Pl.st	helde	hèled
guote	ADJN.Masc.Nom.Pl.st	guote	guot
ûf	APPR	ûf	ûf
einander	DIA	einander	èinander
sluogen	VVFIN.*.Past.Pl.3	sluogen	slahen
.	$_	.	.
	
mit	APPR	mit	mit
grimme	NA.Masc.Dat.Sg.st	grimme	grimm
si	PPER.Masc.Nom.Pl.3	si	ër
truogen	VVFIN.*.Past.Pl.3	truogen	tragen
diu	DDART.Neut.Akk.Pl.*	diu	dër
swert	NA.Neut.Akk.Pl.st	swert	swërt
in	APPR	in	in
den	DDART.*.Dat.Pl.*	den	dër
handen	NA.Fem.Dat.Pl.st	handen	hant
.	$_	.	.
	
mit	APPR	mit	mit
crefte	NA.Fem.Dat.Sg.st	krefte	kraft
si	PPER.*.Nom.Pl.3	si	ër
sich	PRF.Akk.*.*	sich	sich
wanden	VVFIN.*.Past.Pl.3	wânten	wænen
beidiu	KON	beidiu	bèide
hin	AVD	hin	hine
und	KON	und	unte
her	AVD	her	hëre
.	$_	.	.
	
in	PPER.*.Dat.Pl.3	in	ër
was	VAFIN.Ind.Past.Sg.3	was	wësen
zuo	APPR	zuo	ze
einander	DIA	einander	èinander
ger	NA.Fem.Nom.Sg.*	ger	gëre
.	$_	.	.
	
dâ	AVD	dâ	dâr
was	VAFIN.Ind.Past.Sg.3	was	wësen
jâmer	NA.Masc,Neut.Nom.Sg.st	jâmer	jâmer
unde	KON	unde	unte
wê	NA.Neut.Nom.Sg.st	wê	wê
.	$_	.	.
	
ez	PPER.Neut.Nom.Sg.3	ez	ër
geschiht	VVFIN.Ind.Pres.Sg.3	geschihet	geschëhen
nimmermê	AVD|AVD.Comp	niemer|mê	nièmer|mêre
sô	AVD	sô	sô
herter	ADJA.Pos.Masc.Nom.Sg.st	herter	hèrte
strît	NA.Masc.Nom.Sg.st	strît	strît
an	APPR	an	ane
einer	DIART.Fem.Dat.Sg.st	einer	èin
stat	NA.Fem.Dat.Sg.st	stat	stat
.	$_	.	.
	
des	DDS.Neut.Gen.Sg.*	des	dër
werd	VAFIN.Subj.Pres.Sg.3	werde	wërden
ermrîches	NE.Gen.Sg	Èrmrîches	Èrmrîch
nimmer	AVD	niemer	nièmer
rât	NA.Masc.Nom.Sg.st	rât	rât
,	$_	,	,
der	DRELS.Masc.Nom.Sg	der	dër
den	DDART.Masc.Akk.Sg.*	den	dër
strît	NA.Masc.Akk.Sg.st	strît	strît
ie	AVD	ie	iè
gevuogte	VVFIN.*.Past.Sg.3	gevuogte	gevüègen
:	$_	:	:
wan	KO*	wan	wante
in	PPER.Masc.Akk.Sg.3	in	ër
nie	AVD	nie	niè
genuogte	VVFIN.*.Past.Sg.3	genuogte	genüègen
deheiner	DIA.Fem.Gen.Sg.st	decheiner	dehèin
untriuwen	NA.Fem.Gen.Sg.st	untriuwen	untriuwe
.	$_	.	.
	
des	DDS.Neut.Gen.Sg.*	des	dër
sol	VMFIN.Ind.Pres.Sg.3	sol	solen
mich	PPER.*.Akk.Sg.1	mich	ich
cleine	AVD	kleine	klèine
riuwen	VVINF	riuwen	riuwen
swaz	PG.Neut.Nom.Sg.st	swaz	swër
sîner	DPOSA.Fem.Dat.Sg.st	sîner	sîn
sêle	NA.Fem.Dat.Sg.st	sêle	sêle
geschiht	VVFIN.Ind.Pres.Sg.3	geschihet	geschëhen
,	$_	,	,
daz	DDS.Neut.Akk.Sg.*	daz	dër
clage	VVFIN.*.Pres.Sg.1	klage	klagen
ich	PPER.*.Nom.Sg.1	ich	ich
nimmer	AVD	niemer	nièmer
niht	PTKNEG	niht	niht
.	$_	.	.
	
si	PPER.Masc.Nom.Pl.3	si	ër
sluogen	VVFIN.*.Past.Pl.3	sluogen	slahen
hin	AVD	hin	hine
,	$_	,	,
jene	DDS.Masc.Nom.Pl.st	jene	jèner
her	AVD	her	hëre
.	$_	.	.
	
alsô	AVD	alsô	allsô
gie	VVFIN.Ind.Past.Sg.3	gie	gân
ez	PPER.Neut.Nom.Sg.3	ez	ër
entwer	AVD	entwer	indwërh
mit	APPR	mit	mit
sturme	NA.Masc.Dat.Sg.st	sturme	sturm
ûf	APPR	ûf	ûf
der	DDART.Fem.Dat.Sg.*	der	dër
heide	NA.Fem.Dat.Sg.st	heide	hèide
.	$_	.	.
	
do	AVD	dô	dô
geschach	VVFIN.Ind.Past.Sg.3	geschach	geschëhen
vil	AVD	vile	vile
ze	APPR	ze	ze
leide	NA.Neut.Dat.Sg.st	leide	lèid
dem	DDART.Masc.Dat.Sg.*	dem	dër
künege	NA.Masc.Dat.Sg.st	küninge	küning
ermrîche	NE.Dat.Sg	Èrmrîche	Èrmrîch
.	$_	.	.
	
ez	PPER.Neut.Nom.Sg.3	ez	ër
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
ouch	AVD	ouch	ouch
sicherlîche	AVD	sicherlîche	sicherlîche
des	DDS.Neut.Gen.Sg.*	des	dër
von	APPR	von	von
berne	NE.Dat.Sg	Berne	Bërne
niht	PTKNEG	niht	niht
vergezzen	VVPP	vergezzen	vergëzzen
.	$_	.	.
	
vil	AVD	vile	vile
manegen	DIA.Masc.Akk.Sg.st	manigen	manig
helt	NA.Masc.Akk.Sg.st	helt	hèled
vermezzen	ADJN.Masc.Akk.Sg.*	vermezzen	vermëzzen
vlôs	VVFIN.Ind.Past.Sg.3	vlôz	vlièzen
dâ	AVD	dâ	dâr
der	DDART.Masc.Nom.Sg.*	der	dër
bernaere	NA.Masc.Nom.Sg.st	Bernære	Bërnere
.	$_	.	.
	
ditz	DDS.Neut.Nom.Sg.*	ditz	dise
was	VAFIN.Ind.Past.Sg.3	was	wësen
ein	DIART.Neut.Nom.Sg.*	ein	èin
wârez	ADJA.Pos.Neut.Nom.Sg.st	wârez	wâr
maere	NA.Neut.Nom.Sg.st	mære	mære
.	$_	.	.
	
dirre	DDA.Masc.Nom.Sg.*	dirre	dise
sturm	NA.Masc.Nom.Sg.st	sturm	sturm
der	DDS.Masc.Nom.Sg.*	der	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
grôz	ADJD.Pos	grôz	grôz
.	$_	.	.
	
daz	DDART.Neut.Nom.Sg.*	daz	dër
bluot	NA.Neut.Nom.Sg.st	bluot	bluot
durch	APPR	durch	durh
die	DDART.Masc.Akk.Pl.*	die	dër
ringe	NA.Masc.Akk.Pl.st	ringe	ring
vlôz	VVFIN.Ind.Past.Sg.3	vlôz	vlièzen
und	KON	und	unte
durch	APPR	durch	durh
die	DDART.*.Akk.Pl.*	die	dër
helme	NA.Masc.Akk.Pl.*	helme	hëlme
sêre	AVD	sêre	sêre
.	$_	.	.
	
wâ	AVW	wâ	wâr
gehôrt	VVFIN.Ind.Past.Pl.2	gehôrt	gehoèren
ir	PPER.*.Nom.Pl.2	ir	ir
ie	AVD	ie	iè
mêre	AVD.Comp	mêre	mêre
einen	DIART.Masc.Akk.Sg.st	einen	èin
sturm	NA.Masc.Akk.Sg.st	sturm	sturm
sô	AVD	sô	sô
langen	ADJN.Masc.Akk.Sg.*	langen	lang
?	$_	?	?
	
ez	PPER.Neut.Nom.Sg.3	ez	ër
was	VAFIN.Ind.Past.Sg.3	was	wësen
nû	AVD	nû	nû
sô	AVD	sô	sô
ergangen	VVPP	ergangen	ergân
swaz	PG.Neut.Nom.Sg.st	swaz	swër
dâ	AVD	dâ	dâr
ze	APPR	ze	ze
schaden	NA.Masc.Dat.Sg.*	schaden	schade
mohte	VMFIN.*.Past.Sg.3	mohte	mügen
ergân	VVINF	ergân	ergân
.	$_	.	.
	
doch	AVD	doch	doh
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
der	DDART.Masc.Nom.Sg.*	der	dër
strît	NA.Masc.Nom.Sg.st	strît	strît
alsô	AVD	alsô	allsô
getân	VVPP	getân	tuon
,	$_	,	,
er	PPER.Masc.Nom.Sg.3	er	ër
werte	VVFIN.*.Past.Sg.3	werte	wèren
dannoch	AVD	dannoch	dannoh
al	DIA.Masc.Akk.Sg.*	al	all
den	DDART.Masc.Akk.Sg.*	den	dër
tac	NA.Masc.Akk.Sg.st	tac	tag
.	$_	.	.
	
owê	ITJ	ouwê	ouwê
,	$_	,	,
waz	PW.Neut.Nom.Sg.st	waz	wër
liute	NA.Masc,Neut.Gen.Pl.st	liute	liut
dâ	AVD	dâ	dâr
gelac	VVFIN.Ind.Past.Sg.3	gelac	geligen
,	$_	,	,
ê	KOUS	êr	êr
daz	DDART.Neut.Akk.Sg.*	daz	dër
ende	NA.Neut.Akk.Sg.st	ende	ènde
naem	VVFIN.Subj.Past.Sg.3	næme	nëmen
der	DDART.Masc.Nom.Sg.*	der	dër
strît	NA.Masc.Nom.Sg.st	strît	strît
!	$_	!	!
	
rehte	AVD	rehte	rëhte
wol	AVD	wole	wole
ze	APPR	ze	ze
nône	NA.Fem.Gen.Sg.st	nône	nône
zît	NA.Fem,Neut.Dat.Sg.st	zît	zît
,	$_	,	,
dô	AVD	dô	dô
was	VAFIN.Ind.Past.Sg.3	was	wësen
velt	NA.Neut.Nom.Sg.st	velt	vëld
unde	KON	unde	unte
plân	NA.Masc.Nom.Sg.st	plân	plân
alsô	AVD	alsô	allsô
jaemerlîch	AVD	jâmerlîche	jâmerlîche
getân	VVPP	getân	tuon
,	$_	,	,
mit	APPR	mit	mit
bluote	NA.Neut.Dat.Sg.st	bluote	bluot
überrunnen	VVPP	überrunnen	überrinnen
.	$_	.	.
	
die	DDART.Masc.Nom.Pl.*	die	dër
recken	NA.Masc.Nom.Pl.wk	recken	rècke
vil	AVD	vile	vile
versunnen	ADJN.Masc.Nom.Pl.*	versunnen	versunnen
heten	VAFIN.*.Past.Pl.3	hæten	haben
nû	AVD	nû	nû
vil	AVD	vile	vile
cleine	ADJA.Pos.Fem.Akk.Sg.st	kleine	klèine
craft	NA.Fem.Akk.Sg.st	kraft	kraft
.	$_	.	.
	
die	DDART.Fem.Nom.Sg.*	die	dër
ermrîches	NE.Gen.Sg	Èrmrîches	Èrmrîch
ritterschaft	NA.Fem.Nom.Sg.st	ritterschaft	rîtæreschaft
diu	DDS.Fem.Nom.Sg.*	diu	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
nû	AVD	nû	nû
elliu	DIN.Fem.Nom.Sg.st	alliu	all
erslagen	VVPP	erslagen	erslahen
.	$_	.	.
	
ez	PPER.Neut.Nom.Sg.3	ez	ër
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
ze	APPR	ze	ze
maere	NA.Fem,Neut.Dat.Sg.st	mære	mære
wol	AVD	wole	wole
ze	APPR	ze	ze
sagen	NA.Neut.Dat.Sg.wk	sagenne	sagen
ditz	DDA.Neut.Akk.Sg.*	ditz	dise
wunder	NA.Neut.Nom.Sg.st	wunder	wunter
,	$_	,	,
daz	DRELS.Neut.Nom.Sg	daz	dër
dâ	AVD	dâ	dâr
geschach	VVFIN.Ind.Past.Sg.3	geschach	geschëhen
.	$_	.	.
	
man	PI.*.Nom.Sg.st	man	man
sach	VVFIN.Ind.Past.Sg.3	sach	sëhen
von	APPR	von	von
bluote	NA.Neut.Dat.Sg.st	bluote	bluot
manegen	DIA.Masc.Akk.Sg.st	manigen	manig
bach	NA.Masc.Akk.Sg.st	bach	bach
über	APPR	über	über
velt	NA.Neut.Akk.Sg.st	velt	vëld
rinnen	VVINF	rinnen	rinnen
.	$_	.	.
	
als	KO*	als	allsô
ich	PPER.*.Nom.Sg.1	ich	ich
mich	PRF.Akk.Sg.st	mich	ich
kan	VMFIN.Ind.Pres.Sg.1	kan	kunnen
versinnen	VVINF	versinnen	versinnen
,	$_	,	,
sô	AVD	sô	sô
lac	VVFIN.Ind.Past.Sg.3	lac	ligen
der	DDART.*.Gen.Pl.*	der	dër
liute	NA.Masc,Neut.Gen.Pl.st	liute	liut
dâ	AVD	dâ	dâr
sô	AVD	sô	sô
vil	NA.Neut.Nom.Sg.st	vile	vile
,	$_	,	,
daz	KOUS	daz	dazz
ich	PPER.*.Nom.Sg.1	ich	ich
daz	DDS.Neut.Akk.Sg.*	daz	dër
wol	AVD	wole	wole
gesprechen	VVINF	gesprechen	gesprëchen
wil	VMFIN.Ind.Pres.Sg.1	wile	wèllen
,	$_	,	,
daz	KOUS	daz	dazz
bî	APPR	bî	bî
niemens	DIA.*.Gen.Sg.st	niemannes	nièmannd
zîten	NA.Fem,Neut.Dat.Pl.st	zîten	zît
in	APPR	in	in
stürmen	NA.Masc.Dat.Pl.st	stürmen	sturm
od	KON	oder	oder
in	APPR	in	in
strîten	NA.Masc.Dat.Pl.st	strîten	strît
sô	AVD	sô	sô
manic	DIA.Masc.Nom.Sg.*	manic	manig
man	NA.Masc.Nom.Sg.st	man	mann
nie	AVD	nie	niè
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
erslagen	VVPP	erslagen	erslahen
.	$_	.	.
	
wer	PW.Masc.Nom.Sg.st	wer	wër
kunde	VMFIN.*.Past.Sg.3	kunde	kunnen
ez	PPER.Neut.Akk.Sg.3	ez	ër
iu	PPER.*.Dat.Pl.2	iu	ir
ze	APPR	ze	ze
geloube	NA.Fem,Masc.Dat.Sg.*	geloube	geloube
sagen	VVINF	sagen	sagen
!	$_	!	!
	
nû	AVD	nû	nû
