gedaehte	VVFIN.Subj.Past.Sg.3	gedæhte	gedènken
bluot	NA.Neut.Nom.Sg.st	bluot	bluot
her	PAVD	her	hëre
an	PAVAP	an	ane
?	$_	?	?
	
><	NE.Nom.Sg	Christus	<unknown>
min	DPOSA	mîn	mîn
ader	NA.Fem.Nom.Sg.*	âder	âdere
brast	VVFIN.Ind.Past.Sg.3	brast	brësten
,	$_	,	,
da	PAVD	dâ	dâr
giengez	VVFIN.Ind.Past.Sg.3|PPER.Neut.Nom.Sg.3	gienc|ez	gân|ër
van	PAVAP	van	vone
:	$_	:	:
diust	DDS.Neut.Nom.Sg.*|VAFIN.Ind.Pres.Sg.3	diu|ist	dër|sîn
kume	AVD	kûme	kûme
iezuo	AVD	iezuo	ièzuo
verstanden.>	FM	-	-
nu	AVD	nû	nû
begunder	VVFIN.*.Past.Sg.3|PPER.Masc.Nom.Sg.3	begunde|er	beginnen|ër
ouch	AVD	ouch	ouch
tristanden	NE.Akk.Sg	Tristanden	Tristan
durch	APPR	durch	durh
sine	DPOSA.*.Akk.Pl.st	sîne	sîn
hende	NA.Fem.Akk.Pl.st	hende	hant
lazen	VVINF	lâzen	lâzen
gan	VVINF	gân	gân
,	$_	,	,
als	KO*	als	allsô
ez	PPER.Neut.Nom.Sg.3	ez	ër
in	APPR	in	in
schimpfe	NA.Masc.Dat.Sg.st	schimpfe	schimpf
waere	VAFIN.Subj.Past.Sg.3	wære	wësen
getan	VVPP	getân	tuon
:	$_	:	:
<wol	AVD	wole	wole
uf>	AVD	ûf	ûf
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
er<	NA.Masc.Nom.Sg.*	hêrre	êre
her	NA.Masc.Nom.Sg.*	hêrr	hêrre
tristan	NE.Nom.Sg	Tristan	Tristan
!	$_	!	!
	
>	FM	-	-
und	KON	und	unte
warf	VVFIN.Ind.Past.Sg.3	warf	wërfen
daz	DDART.Neut.Akk.Sg.*	daz	dër
deckelachen	NA.Neut.Akk.Sg.st	deckelachen	dèckelachen
dan	AVD	danne	danne
:	$_	:	:
er	PPER.Masc.Nom.Sg.3	er	ër
vant	VVFIN.Ind.Past.Sg.3	vant	vinden
da	AVD	dâ	dâr
bluot	NA.Neut.Akk.Sg.st	bluot	bluot
alse	AVD	alse	allsô
dort	AVD	dort	dort
.	$_	.	.
	
nu	AVD	nû	nû
sweig	VVFIN.Ind.Past.Sg.3	sweic	swîgen
er	PPER.Masc.Nom.Sg.3	er	ër
unde	KON	unde	unte
gesprach	VVFIN.Ind.Past.Sg.3	gesprach	gesprëchen
nie	AVD	nie	niè
wort	NA.Neut.Akk.Sg.st	wort	wort
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
liez	VVFIN.Ind.Past.Sg.3	liez	lâzen
in	PPER.Masc.Akk.Sg.3	in	ër
ligen	VVINF	ligen	ligen
und	KON	und	unte
kerte	VVFIN.*.Past.Sg.3	kêrte	kêren
hin	AVD	hin	hine
.	$_	.	.
	
sine	DPOSA.*.Nom.Pl.st	sîne	sîn
gedanke	NA.Masc.Nom.Pl.st	gedanke	gedank
und	KON	und	unte
sin	DPOSA	sîn	sîn
sin	NA.Masc.Nom.Sg.st	sin	sinn
die	DDS.*.Nom.Pl.*	die	dër
wurden	VAFIN.*.Past.Pl.3	wurden	wërden
swaere	ADJD.Pos	swære	swære
der	PAVD	dâr	dâr
van	PAVAP	van	vone
:	$_	:	:
er	PPER.Masc.Nom.Sg.3	er	ër
dahte	VVFIN.Ind.Past.Sg.3	dâhte	dènken
und	KON	und	unte
dahte	VVFIN.Ind.Past.Sg.3	dâhte	dènken
als	KO*	als	allsô
ein	DIART	ein	èin
der	DDART.Masc.Nom.Sg.*	der	dër
man	NA.Masc.Nom.Sg.st	man	mann
,	$_	,	,
dem	DRELS.Masc.Dat.Sg	dem	dër
ez	PPER.Neut.Nom.Sg.3	ez	ër
ze	APPR	ze	ze
cleinem	ADJA.Pos.Masc.Dat.Sg.st	kleinem	klèine
liebe	NA.Masc.Dat.Sg.st	lîbe	lîb
ertaget	VVFIN.*.Past.Sg.3	ertagete	ertagen
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
haete	VAFIN.*.Past.Sg.3	hæte	haben
ouch	AVD	ouch	ouch
da	PAVD	dâ	dâr
vil	AVD	vile	vile
nach	PAVAP	nâch	nâh
gejaget	VVPP	gejaget	jagen
unz	AVD	unz	unze
uf	APPR	ûf	ûf
sin	DPOSA	sîn	sîn
herzeclichez	ADJA.Pos.Neut.Akk.Sg.st	herziclîchez	hërziglich
leit	NA.Neut.Akk.Sg.st	leit	lèid
iedoch	AVD	iedoch	ièdoh
ir	PPER.*.Gen.Pl.3	ir	ër
beider	DIS.*.Gen.Pl.st	beider	bèide
tougenheit	NA.Fem.Nom.Sg.st	tougenheit	tougenhèit
unde	KON	unde	unte
der	DDART.Fem.Dat.Sg.*	der	dër
waren	ADJA.Pos.Fem.Dat.Sg.wk	wâren	wâr
geschiht	NA.Fem.Gen.Sg.st	geschiht	geschiht
der	DDS.Fem.Gen.Sg.*	der	dër
enwister	PTKNEG|VVFIN.*.Past.Sg.3|PPER.Masc.Nom.Sg.3	en|wiste|er	ne|wizzen|ër
anders	DIS.Neut.Gen.Sg.st	anders	ander
niht	NA.Neut.Akk.Sg.st	niht	niht
,	$_	,	,
wan	KOKOM	wan	wan
alse	KO*	alse	allsô
er	PPER.Masc.Nom.Sg.3	er	ër
an	APPR	an	ane
dem	DDART.Neut.Dat.Sg.*	dem	dër
bluote	NA.Neut.Dat.Sg.st	bluote	bluot
sach	VVFIN.Ind.Past.Sg.3	sach	sëhen
.	$_	.	.
	
diu	DDART.Fem.Nom.Sg.*	diu	dër
bewaerde	NA.Fem.Nom.Sg.*	bewærde	bewærede
diu	DDS.Fem.Nom.Sg.*	diu	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
aber	AVD	aber	aber
swach	ADJD.Pos	swach	swach
.	$_	.	.
	
sin	DPOSA	sîn	sîn
zwivel	NA.Masc.Nom.Sg.st	zwîvel	zwîvel
und	KON	und	unte
sin	DPOSA	sîn	sîn
arcwan	NA.Masc.Nom.Sg.st	arcwân	argwân
,	$_	,	,
die	DRELS.*.Akk.Pl	die	dër
er	PPER.Masc.Nom.Sg.3	er	ër
e	AVD	êr	êr
haete	VAFIN.*.Past.Sg.3	hæte	haben
gar	AVD	gar	gare
verlan	VVPP	verlân	verlâzen
,	$_	,	,
ze	APPR	ze	ze
den	DDS.*.Dat.Pl.*	den	dër
so	AVD	sô	sô
was	VAFIN.Ind.Past.Sg.3	was	wësen
er	PPER.Masc.Nom.Sg.3	er	ër
aber	AVD	aber	aber
geweten	VVPP	geweten	wëten
:	$_	:	:
wan	KO*	wan	wante
er	PPER.Masc.Nom.Sg.3	er	ër
den	DDART.Masc.Akk.Sg.*	den	dër
estrich	NA.Masc.Akk.Sg.st	esterîch	èsterîch
umbetreten	ADJD.Pos	unbetreten	unbetrèten
vor	APPR	vore	vore
dem	DDART.Neut.Dat.Sg.*	dem	dër
bette	NA.Neut.Dat.Sg.st	bette	bètte
vunden	VVPP	vunden	vinden
haete	VAFIN.*.Past.Sg.3	hæte	haben
,	$_	,	,
davon	PAVD|PAVAP	dâ|von	dâr|vone
wander	KO*|PPER.Masc.Nom.Sg.3	wande|er	wante|ër
untaete	VVFIN.*.Past.Sg.3	entete	untæjen
von	APPR	von	von
sinem	DPOSA.Masc.Dat.Sg.st	sînem	sîn
neven	NA.Masc.Dat.Sg.wk	neven	nëve
ane	APPR	âne	âne
sin	NA.Masc.Akk.Sg.st	sin	sinn
;	$_	;	;
und	KON	und	unte
wan	KO*	wan	wante
er	PPER.Masc.Nom.Sg.3	er	ër
aber	AVD	aber	aber
die	DDART.Fem.Akk.Sg.*	die	dër
künigin	NA.Fem.Akk.Sg.st	küningîn	küninginne
und	KON	und	unte
sin	DPOSA	sîn	sîn
bette	NA.Neut.Akk.Sg.st	bette	bètte
bluotic	ADJD.Pos	bluotic	bluotig
vant	VVFIN.Ind.Past.Sg.3	vant	vinden
,	$_	,	,
davon	PAVD|PAVAP	dâ|von	dâr|vone
bestuont	VVFIN.Ind.Past.Sg.3	bestuont	bestân
in	PPER.Masc.Akk.Sg.3	in	ër
alzehant	AVD	alzehant	allzehant
sin	DPOSA	sîn	sîn
ungedanc	NA.Masc.Nom.Sg.st	ungedanc	ungedank
und	KON	und	unte
sin	DPOSA	sîn	sîn
unmuot	NA.Masc.Nom.Sg.st	unmuot	unmuot
,	$_	,	,
alse	KO*	alse	allsô
den	DDART.Masc.Akk.Sg.*	den	dër
zwivelhaften	ADJA.Pos.*.Dat.Pl.*	zwîvelhaften	zwîvelhaft
tuot	VVFIN.Ind.Pres.Sg.3	tuot	tuon
.	$_	.	.
	
mit	APPR	mit	mit
disem	DDA.Masc.Dat.Sg.*	disem	dise
zwivel	NA.Masc.Dat.Sg.st	zwîvel	zwîvel
enwister	VVFIN.*.Past.Sg.3|PPER.Masc.Nom.Sg.3	entwiste|er	entwizzen|ër
war	AVW	war	ware
;	$_	;	;
er	PPER.Masc.Nom.Sg.3	er	ër
wande	VVFIN.*.Past.Sg.3	wânte	wænen
her	AVD	her	hëre
,	$_	,	,
er	PPER.Masc.Nom.Sg.3	er	ër
wande	VVFIN.*.Past.Sg.3	wânte	wænen
dar	AVD	dar	dâr
,	$_	,	,
ern	PPER.Masc.Nom.Sg.3|PTKNEG	er|ne	ër|ne
wiste	VVFIN.*.Past.Sg.3	wiste	wizzen
,	$_	,	,
waz	PW.Neut.Akk.Sg.st	waz	wër
er	PPER.Masc.Nom.Sg.3	er	ër
wolte	VMFIN.*.Past.Sg.3	wolte	wèllen
oder	KON	oder	oder
wes	PW.Neut.Gen.Sg.st	wes	wër
er	PPER.Masc.Nom.Sg.3	er	ër
waenen	VVINF	wænen	wænen
solte	VMFIN.*.Past.Sg.3	solte	solen
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
haete	VAFIN.*.Past.Sg.3	hæte	haben
zuo	APPR	zuo	ze
den	DDART.*.Dat.Pl.*	den	dër
stunden	NA.Fem.Dat.Pl.*	stunden	stunte
an	APPR	an	ane
sinem	DPOSA.Neut.Dat.Sg.st	sînem	sîn
bette	NA.Neut.Dat.Sg.st	bette	bètte
vunden	VVPP	vunden	vinden
diu	DDART.Neut.Akk.Pl.*	diu	dër
schuldegen	ADJA.Pos.*.Akk.Pl.wk	schuldigen	schuldig
minnen	NA.Fem.Gen.Sg.st	minnen	minne
spor	NA.Neut.Akk.Pl.st	spor	spor
und	KON	und	unte
vant	VVFIN.Ind.Past.Sg.3	vant	vinden
dekeinez	DIS.Neut.Akk.Sg.st	decheinez	dehèin
dervor	PAVD|PAVAP	dâr|vore	dâr|vore
.	$_	.	.
	
hie	PAVD	hier	hièr
mite	PAVAP	mite	mite
was	VAFIN.Ind.Past.Sg.3	was	wësen
ime	PPER.Masc.Dat.Sg.3	ime	ër
diu	DDART.Fem.Nom.Sg.*	diu	dër
warheit	NA.Fem.Nom.Sg.st	wârheit	wârhèit
beidiu	KON	beidiu	bèide
geheizen	VVPP	geheizen	hèizen
und	KON	und	unte
verseit	VVPP	verseit	versagen
.	$_	.	.
	
mit	APPR	mit	mit
disen	DDA.*.Dat.Pl.*	disen	dise
zwein	CARDS.*.Dat.Pl.st	zwein	zwêne
was	VAFIN.Ind.Past.Sg.3	was	wësen
er	PPER.Masc.Nom.Sg.3	er	ër
betrogen	VVPP	betrogen	betriègen
:	$_	:	:
disiu	DDA.Neut.Nom.Pl.*	disiu	dise
zwei	CARDA.Neut.Nom.Pl.st	zwei	zwêne
,	$_	,	,
war	ADJD.Pos	wâr	wâr
unde	KON	unde	unte
gelogen	VVPP	gelogen	liègen
,	$_	,	,
diu	DDS.Fem.Nom.Sg.*	diu	dër
haeter	VAFIN.*.Past.Sg.3|PPER.Masc.Nom.Sg.3	hæte|er	haben|ër
beide	KON	beide	bèide
in	APPR	in	in
wane	NA.Masc.Dat.Sg.st	wâne	wân
und	KON	und	unte
was	VAFIN.Ind.Past.Sg.3	was	wësen
ouch	AVD	ouch	ouch
beider	DIA.*.Gen.Pl.st	beider	bèide
ane	PTKVZ	ane	ane
:	$_	:	:
ern	PPER.Masc.Nom.Sg.3|PTKNEG	er|ne	ër|ne
wolte	VMFIN.*.Past.Sg.3	wolte	wèllen
si	PPER.Fem.Akk.Sg.3	si	ër
niht	PTKNEG	niht	niht
schuldic	ADJD.Pos	schuldic	schuldig
han	VAINF	hân	haben
und	KON	und	unte
enwoltes	PTKNEG|VMFIN.*.Past.Sg.3	en|woltes	ne|wèllen
ouch	AVD	ouch	ouch
niht	PTKNEG	niht	niht
schulde	NA.Fem.Akk.Sg.st	schulde	schulde
erlan	VVINF	erlân	erlâzen
;	$_	;	;
diz	DDS.Neut.Nom.Sg.*	diz	dise
was	VAFIN.Ind.Past.Sg.3	was	wësen
dem	DDART.Masc.Dat.Sg.*	dem	dër
zwivelaere	NA.Masc.Dat.Sg.st	zwîvelære	zwîvelære
ein	DIART.Fem.Nom.Sg.*	ein	èin
nahe	ADJA.Pos.Fem.Nom.Sg.st	nâhe	nâh
gendiu	ADJA.Pos.Fem.Nom.Sg.st	gêntiu	gân
swaere	NA.Fem.Nom.Sg.st	swære	swære
.	$_	.	.
	
der	DDS.Masc.Nom.Sg.*	der	dër
verirrete	VVFIN.*.Past.Sg.3	verirrete	verirren
marke	NE.Nom.Sg	Marke	Marke
alrerste	AVD.Sup	allrêreste	allerêreste
was	VAFIN.Ind.Past.Sg.3	was	wësen
er	PPER.Masc.Nom.Sg.3	er	ër
starke	AVD	starke	starke
bekumbert	VVPP	bekumbert	bekumberen
mit	APPR	mit	mit
trahte	NA.Fem.Dat.Sg.st	trahte	trahte
,	$_	,	,
mit	APPR	mit	mit
wie	AVW	wie	wiè
getaner	ADJA.Pos.Fem.Dat.Sg.st	getâner	tuon
ahte	NA.Fem.Dat.Sg.st	âhte	âhte
er	PPER.Masc.Nom.Sg.3	er	ër
sich	PRF.Akk.*.*	sich	sich
hier	PAVD	hier	hièr
uz	PAVAP	ûz	ûz
berihtete	VVFIN.*.Past.Sg.3	berihtete	berihten
und	KON	und	unte
disen	DDA.Masc.Akk.Sg.*	disen	dise
wan	NA.Masc.Akk.Sg.st	wân	wân
beslihtete	VVFIN.*.Past.Sg.3	beslihtete	beslihten
;	$_	;	;
wie	AVW	wie	wiè
er	PPER.Masc.Nom.Sg.3	er	ër
der	DDART.Masc.Nom.Sg.*	der	dër
zwivelbürde	NA.Fem.Gen.Sg.st	zwîvelbürte	zwîvelbürde
ledec	ADJD.Pos	ledic	lèdig
und	KON	und	unte
ane	AVD	ane	ane
würde	VAFIN.Subj.Past.Sg.3	würde	wërden
;	$_	;	;
wie	AVW	wie	wiè
er	PPER.Masc.Nom.Sg.3	er	ër
den	DDART.Masc.Akk.Sg.*	den	dër
hof	NA.Masc.Akk.Sg.st	hof	hov
braehte	VVFIN.Subj.Past.Sg.3	bræhte	bringen
von	APPR	von	von
der	DDART.Fem.Dat.Sg.*	der	dër
missedaehte	NA.Fem.Dat.Sg.st	missetæhte	missetâht
,	$_	,	,
die	DRELS.Fem.Akk.Sg	die	dër
er	PPER.Masc.Nom.Sg.3	er	ër
treip	VVFIN.Ind.Past.Sg.3	treip	trîben
ie	AVD	ie	iè
genote	AVD	genôte	genôte
von	APPR	von	von
sinem	DPOSA.Neut.Dat.Sg.st	sînem	sîn
wibe	NA.Neut.Dat.Sg.st	wîbe	wîb
isote	NE.Dat.Sg	Isôte	Isôte
und	KON	und	unte
sinem	DPOSA.Masc.Dat.Sg.st	sînem	sîn
neven	NA.Masc.Dat.Sg.wk	neven	nëve
tristande	NE.Dat.Sg	Tristande	Tristan
.	$_	.	.
	
sine	DPOSA.*.Akk.Pl.st	sîne	sîn
vürsten	NA.Masc.Akk.Pl.wk	vürsten	vürste
er	PPER.Masc.Nom.Sg.3	er	ër
besande	VVFIN.*.Past.Sg.3	besante	besènten
,	$_	,	,
dar	AVD	dar	dâr
er	PPER.Masc.Nom.Sg.3	er	ër
sich	PRF.Akk.*.*	sich	sich
triuwen	NA.Fem.Gen.Pl.*	triuwen	triuwe
versach	VVFIN.Ind.Past.Sg.3	versach	versëhen
,	$_	,	,
und	KON	und	unte
kündet	VVFIN.*.Past.Sg.3	kündete	künden
in	PPER.*.Dat.Pl.3	in	ër
sin	DPOSA	sîn	sîn
ungemach	NA.Neut.Akk.Sg.st	ungemach	ungemach
und	KON	und	unte
seitin	VVFIN.*.Past.Pl.3	seiten	sagen
,	$_	,	,
wie	AVW	wie	wiè
diz	DDA.Neut.Nom.Sg.*	diz	dise
maere	NA.Neut.Nom.Sg.st	mære	mære
da	AVD	dâ	dâr
ze	APPR	ze	ze
hove	NA.Masc.Dat.Sg.st	hove	hov
ersprungen	VVPP	ersprungen	erspringen
waere	VAFIN.Subj.Past.Sg.3	wære	wësen
und	KON	und	unte
vorhte	VVFIN.*.Past.Sg.3	vorhte	vürhten
harte	AVD	harte	harte
sere	AVD	sêre	sêre
siner	DPOSA.Fem.Gen.Sg.st	sîner	sîn
e	NA.Fem.Gen.Sg.wk	ê	êwe
und	KON	und	unte
siner	DPOSA.Fem.Gen.Sg.st	sîner	sîn
ere	NA.Fem.Gen.Sg.st	êre	êre
;	$_	;	;
und	KON	und	unte
jach	VVFIN.Ind.Past.Sg.3	jach	jëhen
,	$_	,	,
des	DDS.Neut.Gen.Sg.*	des	dër
in	PTKNEG	en	ne
enduhte	PTKNEG|VVFIN.*.Past.Sg.3	en|dûhte	ne|dunken
niht	NA.Neut.Nom.Sg.st	niht	niht
,	$_	,	,
sitdaz	KO*	sît_daz	sît_dazz
ir	PPER.*.Gen.Pl.3	ir	ër
beider	DID.*.Gen.Pl.st	beider	bèide
inziht	AVD	enzît	enzît
so	AVD	sô	sô
waere	VAFIN.Subj.Past.Sg.3	wære	wësen
goffenbaeret	VVPP	geoffenbæret	offenbæren
und	KON	und	unte
in	APPR	in	in
daz	DDART.Neut.Akk.Sg.*	daz	dër
lant	NA.Neut.Akk.Sg.st	lant	lant
vermaeret	VVPP	vermæret	vermæren
,	$_	,	,
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
binamen	AVD	bînamen	bînamen
der	DDART.Fem.Dat.Sg.*	der	dër
künigin	NA.Fem.Dat.Sg.st	küningîn	küninginne
holt	ADJD.Pos	holt	hold
oder	KON	oder	oder
heinlich	ADJD.Pos	heimelich	hèimelich
wolte	VMFIN.*.Past.Sg.3	wolte	wèllen
sin	VAINF	sîn	sîn
,	$_	,	,
sin	PPER.Masc.Gen.Sg.3	sîn	ër
behabete	VVFIN.*.Past.Sg.3	behabete	behaben
offenlichen	AVD	offenlîchen	offenlîche
e	AVD	êr	êr
wider	AVD	wider	widere
in	APPR	in	in
ir	DPOSA	ire	ire
unschuld	NA.Fem.Akk.Sg.st	unschult	unschulde
unde	KON	unde	unte
ir	DPOSA	ire	ire
e	NA.Fem,Masc.Akk.Sg.wk	ê	êwe
:	$_	:	:
hier	AVD	hier	hièr
übersuohter	VVFIN.*.Past.Sg.3|PPER.Masc.Nom.Sg.3	übersuochete|er	übersuochen|ër
ir	PPER.*.Gen.Pl.3	ir	ër
aller	DIS.*.Gen.Pl.st	aller	all
rat	NA.Masc.Akk.Sg.st	rât	rât
,	$_	,	,
den	DDART.Masc.Akk.Sg.*	den	dër
zwivel	NA.Masc.Akk.Sg.st	zwîvel	zwîvel
umbe	APPR	umbe	umbe
ir	DPOSA	ire	ire
missetat	NA.Fem.Akk.Sg.st	missetât	missetât
,	$_	,	,
wier	AVW|PPER.Masc.Nom.Sg.3	wie|er	wiè|ër
den	DDS.Masc.Akk.Sg.*	den	dër
so	AVD	sô	sô
hin	AVD	hin	hine
getaete	VVFIN.Subj.Past.Sg.3	getæte	getâen
,	$_	,	,
als	KO*	als	allsô
er	PPER.Masc.Nom.Sg.3	er	ër
es	PPER.Neut.Gen.Sg.3	es	ër
ere	NA.Fem.Akk.Sg.st	êre	êre
haete	VAFIN.*.Past.Sg.3	hæte	haben
,	$_	,	,
eintweder	KO*	entweder	entwëder
abe	PTKVZ	abe	abe
oder	KON	oder	oder
an	PTKVZ	an	ane
.	$_	.	.
	
sine	DPOSA.*.Nom.Pl.st	sîne	sîn
vriunde	NA.Masc.Nom.Pl.st	vriunde	vriunt
und	KON	und	unte
sine	DPOSA.*.Nom.Pl.st	sîne	sîn
man	NA.Masc.Nom.Pl.st	manne	mann
die	DDS.Masc.Nom.Pl.*	die	dër
gerieten	VVFIN.*.Past.Pl.3	gerieten	gerâten
ime	PPER.Masc.Dat.Sg.3	ime	ër
zehant	AVD	zehant	zehant
,	$_	,	,
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
ze	APPR	ze	ze
lunders	NE.Dat.Sg	Lunders	Lunders
z	APPR	ze	ze
engelant	NE.Dat.Sg	engellant	Èngellant
ein	DIART.Neut.Akk.Sg.*	ein	èin
concilje	FM	-	-
leite	VVFIN.*.Past.Sg.3	leite	lègen
und	KON	und	unte
da	AVD	dâ	dâr
der	DDART.Fem.Gen.Sg.*	der	dër
pfafheite	NA.Fem.Gen.Sg.st	pfafheite	pfaffhèit
,	$_	,	,
den	DDART.*.Dat.Pl.*	den	dër
witzegen	ADJA.Pos.*.Dat.Pl.*	witzigen	witzig
antisten	NA.Fem,Masc.Dat.Pl.st	antisten	antist
,	$_	,	,
die	DRELS.*.Nom.Pl	die	dër
gotes	NA.Masc.Gen.Sg.st	gotes	got
reht	NA.Neut.Akk.Sg.st	reht	rëht
wol	AVD	wole	wole
wisten	VVFIN.*.Past.Pl.3	wisten	wizzen
,	$_	,	,
sinen	DPOSA.Masc.Akk.Sg.st	sînen	sîn
werren	NA.Masc.Akk.Sg.wk	werren	wërre
taete	VVFIN.*.Past.Sg.3	tete	tuon
kunt	ADJD.Pos	kunt	kund
.	$_	.	.
	
daz	DDART.Neut.Nom.Sg.*	daz	dër
concilje	NE.Nom.Sg	Concilie	Koncilie
daz	DDS.Neut.Nom.Sg.*	daz	dër
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
sa	AVD	sâr	sâr
zestunt	AVD	zestunt	zestunt
ze	APPR	ze	ze
lunders	NE.Dat.Sg	Lunders	Lunders
besprochen	VVPP	besprochen	besprëchen
nach	APPR	nâch	nâh
der	DDART.Fem.Dat.Sg.*	der	dër
pfingestwochen	NA.Fem.Dat.Sg.st	phingestwochen	pfingestwoche
ze	APPR	ze	ze
uzgendem	PTKVZ|ADJA.Pos.Masc.Dat.Sg.st	ûz|gêntem	ûz|gân
meien	NA.Masc.Dat.Sg.wk	meien	mèie
.	$_	.	.
	
pfaffen	NA.Masc.Nom.Pl.*	pfaffen	pfaffe
unde	KON	unde	unte
leien	NA.Masc.Nom.Pl.*	leien	lèie
der	DDS.Masc.Nom.Sg.*	der	dër
kam	VVFIN.Ind.Past.Sg.3	kam	komen
zem	APPR|DDART.Masc.Dat.Sg.*	ze|dem	ze|dër
tage	NA.Masc.Dat.Sg.st	tage	tag
ein	DIART.Fem.Nom.Sg.*	ein	èin
michel	ADJA.Pos.Fem.Nom.Sg.*	michel	michel
craft	NA.Fem.Nom.Sg.st	kraft	kraft
durch	APPR	durch	durh
des	DDART.Masc.Gen.Sg.*	des	dër
küneges	NA.Masc.Gen.Sg.st	küninges	küning
boteschaft	NA.Fem.Akk.Sg.st	boteschaft	boteschaft
,	$_	,	,
als	KO*	als	allsô
er	PPER.Masc.Nom.Sg.3	er	ër
gebat	VVFIN.Ind.Past.Sg.3	gebat	gebiten
und	KON	und	unte
ouch	AVD	ouch	ouch
gebot	VVFIN.Ind.Past.Sg.3	gebôt	gebièten
.	$_	.	.
	
nu	AVD	nû	nû
dar	AVD	dar	dâr
kam	VVFIN.Ind.Past.Sg.3	kam	komen
marke	NE.Nom.Sg	Marke	Marke
und	KON	und	unte
kam	VVFIN.Ind.Past.Sg.3	kam	komen
isot	NE.Nom.Sg	Isôte	Isôte
bekumberet	VVPP	bekumberet	bekumberen
beide	KON	beide	bèide
mit	APPR	mit	mit
vorhte	NA.Fem.Dat.Sg.st	vorhte	vorhte
und	KON	und	unte
mit	APPR	mit	mit
leide	NA.Fem.Dat.Sg.st	leide	lèide
:	$_	:	:
isot	NE.Nom.Sg	Isôte	Isôte
diu	DDART.Fem.Nom.Sg.*	diu	dër
vorhte	NA.Fem.Nom.Sg.*	vorhte	vorhte
sere	AVD	sêre	sêre
verliesen	VVINF	verliesen	verlièsen
lip	NA.Masc.Akk.Sg.st	lîp	lîb
und	KON	und	unte
ere	NA.Fem.Akk.Sg.st	êre	êre
;	$_	;	;
so	AVD	sô	sô
haete	VAFIN.*.Past.Sg.3	hæte	haben
marke	NE.Nom.Sg	Marke	Marke
michel	ADJA.Pos	michel	michel
leit	NA.Neut.Akk.Sg.st	leit	lèid
,	$_	,	,
sine	DPOSA.Fem.Akk.Sg.st	sîne	sîn
vröude	NA.Fem.Akk.Sg.st	vröuwede	vröuwede
und	KON	und	unte
sine	DPOSA.Fem.Akk.Sg.st	sîne	sîn
werdekeit	NA.Fem.Akk.Sg.st	werdicheit	wërdighèit
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
die	DDS.Fem.Akk.Sg.*	die	dër
swachen	VVINF	swachen	swachen
solde	VMFIN.*.Past.Sg.3	solte	solen
an	APPR	an	ane
sinem	DPOSA.Neut.Dat.Sg.st	sînem	sîn
wibe	NA.Neut.Dat.Sg.st	wîbe	wîb
isolde	AVD|VMFIN.*.Past.Sg.3	ie|solte	iè|solen
.	$_	.	.
	
nu	KOUS	nû	nû
marke	NE.Nom.Sg	Marke	Marke
an	APPR	an	ane
daz	DDART.Neut.Akk.Sg.*	daz	dër
concilje	FM	-	-
gesaz	VVFIN.Ind.Past.Sg.3	gesaz	gesitzen
,	$_	,	,
sinen	DPOSA.Masc.Akk.Sg.st	sînen	sîn
lantvürsten	NA.Masc.Akk.Sg.*	lantvürsten	lantvürste
clageter	VVFIN.*.Past.Sg.3|PPER.Masc.Nom.Sg.3	klagete|er	klagen|ër
daz	DDS.Neut.Akk.Sg.*	daz	dër
,	$_	,	,
wie	AVW	wie	wiè
er	PPER.Masc.Nom.Sg.3	er	ër
beswaeret	VVPP	beswæret	beswæren
waere	VAFIN.Subj.Past.Sg.3	wære	wësen
mit	APPR	mit	mit
disem	DDA.Masc.Dat.Sg.*	disem	dise
lastermaere	NA.Masc.Dat.Sg.st	lastermære	lastermære
,	$_	,	,
und	KON	und	unte
bat	VVFIN.Ind.Past.Sg.3	bat	biten
si	PPER.*.Akk.Pl.3	si	ër
harte	AVD	harte	harte
sere	AVD	sêre	sêre
durch	APPR	durch	durh
got	NA.Masc.Akk.Sg.st	got	got
und	KON	und	unte
durch	APPR	durch	durh
ir	DPOSA	ire	ire
ere	NA.Fem.Akk.Sg.st	êre	êre
,	$_	,	,
ob	KOUS	ob	obe
si	PPER.*.Nom.Pl.3	si	ër
mit	APPR	mit	mit
ihte	NA.Neut.Dat.Sg.st	ihte	iht
kunden	VMFIN.*.Past.Pl.3	kunden	kunnen
,	$_	,	,
dazs	KOUS	daz	dazz
ime	PPER.Masc.Dat.Sg.3	ime	ër
hier	AVD	hier	hièr
übervunden	VVFIN.*.Past.Pl.3	übervunden	übervinden
etslichen	DIA.Masc.Akk.Sg.st	eteslîchen	ëteslich
den	DDART.Masc.Akk.Sg.*	den	dër
list	NA.Masc.Akk.Sg.st	list	list
oder	KON	oder	oder
den	DDART.Masc.Akk.Sg.*	den	dër
rat	NA.Masc.Akk.Sg.st	rât	rât
,	$_	,	,
