ir	PPER.*.Nom.Pl.2	ir	ir
im	PPER.Masc.Dat.Sg.3	im	ër
ê	AVD	êr	êr
was	VAFIN.Ind.Past.Sg.3	was	wësen
unkunt	ADJD.Pos	unkunt	unkund
.	$_	.	.
	
si	PPER.Fem.Nom.Sg.3	si	ër
machet	VVFIN.Ind.Pres.Sg.3	machet	machen
in	PPER.Masc.Akk.Sg.3	in	ër
schiere	AVD	schiere	schière
wunt	ADJD.Pos	wunt	wunt
,	$_	,	,
ez	PPER.Neut.Nom.Sg.3	ez	ër
sî	VAFIN.Subj.Pres.Sg.3	sî	sîn
man	NA.Masc.Nom.Sg.st	man	mann
oder	KON	oder	oder
wîb	NA.Neut.Nom.Sg.st	wîp	wîb
,	$_	,	,
sie	PPER.Fem.Nom.Sg.3	sie	ër
begrîfet	VVFIN.Ind.Pres.Sg.3	begrîfet	begrîfen
im	PPER.Masc.Dat.Sg.3	im	ër
den	DDART.Masc.Akk.Sg.*	den	dër
lîb	NA.Masc.Akk.Sg.st	lîp	lîb
und	KON	und	unte
die	DDART.*.Akk.Pl.*	die	dër
sinne	NA.Masc.Akk.Pl.st	sinne	sinn
garwe	AVD	garwe	garwe
und	KON	und	unte
salewet	VVFIN.Ind.Pres.Sg.3	salwet	salwen
im	PPER.Masc.Dat.Sg.3	im	ër
die	DDART.Fem.Akk.Sg.*	die	dër
varwe	NA.Fem.Akk.Sg.st	varwe	varwe
mit	APPR	mit	mit
vil	AVD	vile	vile
grôzer	ADJA.Pos.Fem.Dat.Sg.st	grôzer	grôz
gewalt	NA.Fem.Dat.Sg.st	gewalt	gewalt
.	$_	.	.
	
si	PPER.Fem.Nom.Sg.3	si	ër
machet	VVFIN.Ind.Pres.Sg.3	machet	machen
in	PPER.Masc.Akk.Sg.3	in	ër
vil	AVD	vile	vile
dicke	AVD	dicke	dicke
kalt	ADJD.Pos	kalt	kalt
und	KON	und	unte
dar	PAVD	dâr	dâr
nâch	PAVAP	nâch	nâh
sô	AVD	sô	sô
schiere	AVD	schiere	schière
heiz	ADJD.Pos	heiz	hèiz
,	$_	,	,
daz	KOUS	daz	dazz
her	PPER.Masc.Nom.Sg.3	her	ër
sîn	PPER.Masc.Gen.Sg.3	sîn	ër
selbes	DDS.Masc.Gen.Sg.st	selbes	sëlb
rât	NA.Masc.Akk.Sg.st	rât	rât
ne	PTKNEG	ne	ne
weiz	VVFIN.Ind.Pres.Sg.3	weiz	wizzen
.	$_	.	.
	
solich	DDD.*.*.*.st	solich	solich
sint	VAFIN.Ind.Pres.Pl.3	sint	sîn
ir	DPOSA	ire	ire
wâfen	NA.Neut.Nom.Pl.st	wâfen	wâfen
:	$_	:	:
sie	PPER.Fem.Nom.Sg.3	sie	ër
benimt	VVFIN.Ind.Pres.Sg.3	benimet	benëmen
imz	PPER.Masc.Dat.Sg.3|PPER.Neut.Akk.Sg.3	im|ez	ër|ër
slâfen	VVINF	slâfen	slâfen
und	KON	und	unte
ezzen	NA.Neut.Akk.Sg.st	ezzen	ëzzen
unde	KON	unde	unte
trinken	NA.Neut.Akk.Sg.st	trinken	trinken
.	$_	.	.
	
si	PPER.Fem.Nom.Sg.3	si	ër
lêret	VVFIN.Ind.Pres.Sg.3	lêret	lêren
in	PPER.Masc.Akk.Sg.3	in	ër
gedenken	VVINF	gedenken	gedènken
vile	AVD	vile	vile
misselîche	AVD	misselîche	misselîche
.	$_	.	.
	
nieman	DIA.*.Nom.Sg.st	nieman	nièmannd
is	VAFIN.Ind.Pres.Sg.3	is	sîn
sô	AVD	sô	sô
rîche	ADJD.Pos	rîche	rîche
,	$_	,	,
der	DRELS.Masc.Nom.Sg	der	dër
sich	PRF.Akk.*.*	sich	sich
ir	PPER.Fem.Gen.Sg.3	ir	ër
moge	VMFIN.Subj.Pres.Sg.3	müge	mügen
erweren	VVINF	erweren	erwèren
noch	KON	noch	noh
sîn	DPOSA.Neut.Nom.Sg.*	sîn	sîn
herze	NA.Neut.Nom.Sg.wk	herze	hërze
vor	APPR	vore	vore
ir	PPER.Fem.Dat.Sg.3	ir	ër
generen	VVINF	generen	genèren
noch	KON	noch	noh
ne	PTKNEG	ne	ne
kan	VMFIN.Ind.Pres.Sg.3	kan	kunnen
noch	KON	noch	noh
ne	PTKNEG	ne	ne
mach	VMFIN.Ind.Pres.Sg.3	mac	mügen
.	$_	.	.
	
nû	AVD	nû	nû
is	VAFIN.Ind.Pres.Sg.3	is	sîn
des	DDS.Neut.Gen.Sg.*	des	dër
vil	AVD	vile	vile
manech	DIA.Masc.Nom.Sg.*	manic	manig
tach	NA.Masc.Nom.Sg.st	tac	tag
,	$_	,	,
deich	KOUS|PPER.*.Nom.Sg.1	dazz|ich	dazz|ich
nie	AVD	nie	niè
sô	AVD	sô	sô
vil	NA.Neut.Nom.Sg.st	vile	vile
dar	PAVD	dâr	dâr
abe	PAVAP	abe	abe
gesprach.>	VVFIN.Ind.Past.Sg.3	gesprach	gesprëchen
<frowe	NA.Fem.Nom.Sg.*	<unknown>	krouwe
,	$_	,	,
is	VAFIN.Ind.Pres.Sg.3	is	sîn
denn	AVD	denne	danne
minne	NA.Fem.Nom.Sg.*	minne	minne
ungemach	NA.Masc,Neut.Nom.Sg.st	ungemach	ungemach
?	$_	?	?
	
><nein	ITJ	knehen	anen
si	PPER.Fem.Nom.Sg.3	si	ër
,	$_	,	,
niwan	AVD	niuwan	niuwan
nâhen	AVD	nâhen	nâhene
bî.>	AVD	bî	biz
<ich	PPER.*.Nom.Sg.1	ich	ich
wâne	VVFIN.*.Pres.Sg.1	wæne	wænen
daz	KOUS	daz	dazz
si	PPER.Fem.Nom.Sg.3	si	ër
sterker	ADJD.Pos	sterker	stark
sî	VAFIN.Subj.Pres.Sg.3	sî	sîn
dan	KOKOM	danne	danne
diu	DDART.Fem.Nom.Sg.*	diu	dër
suht	NA.Fem.Nom.Sg.st	suht	suht
oder	KON	oder	oder
daz	DDART.Neut.Nom.Sg.*	daz	dër
fieber	NA.Neut.Nom.Sg.st	fieber	fièber
:	$_	:	:
si	PPER.*.Nom.Pl.3	si	ër
wâren	VAFIN.Ind.Past.Pl.3	wâren	wësen
mir	PPER.*.Dat.Sg.1	mir	ich
beidiu	DIS.Neut.Nom.Pl.st	beidiu	bèide
lieber	ADJD.Pos	lieber	lièb
,	$_	,	,
wan	KO*	wan	wante
man	PI.*.Nom.Sg.st	man	man
bekêret	VVFIN.Ind.Pres.Sg.3	bekêret	bekêren
nâch	APPR	nâch	nâh
dem	DDART.Masc.Dat.Sg.*	dem	dër
sweize	NA.Masc.Dat.Sg.st	sweize	swèiz
.	$_	.	.
	
minne	NA.Fem.Nom.Sg.*	minne	minne
tût	VVFIN.Ind.Pres.Sg.3	tuot	tuon
kalt	ADJD.Pos	kalt	kalt
unde	KON	unde	unte
heize	ADJA.Pos.Neut.Akk.Sg.wk	heize	hèiz
mêr	AVD.Comp	mêr	mêre
denne	KOUS	denne	danne
der	DDART.*.Gen.Pl.*	der	dër
viertage	NA.Masc.Gen.Pl.st	vîrtage	vîretag
rite.>	NA.Masc.Nom.Sg.st	rîtær	rîtære
<swer	PG.Masc.Nom.Sg.st	swer	swër
bestricket	VVPP	bestricket	bestricken
wirt	VAFIN.Ind.Pres.Sg.3	wirdet	wërden
dâ	PAVD	dâ	dâr
mite	PAVAP	mite	mite
,	$_	,	,
her	PPER.Masc.Nom.Sg.3	her	ër
mûz	VMFIN.Ind.Pres.Sg.3	muoz	müèzen
sich	PRF.Akk.*.*	sich	sich
alles	DIA.Neut.Gen.Sg.st	alles	all
des	DDART.Neut.Gen.Sg.*	des	dër
genieten.>	NA.Neut.Gen.Sg.st	genietes	geniht
<	AVD	an	ane
sô	AVD	sô	sô
mûze	VMFIN.Subj.Pres.Sg.3	müeze	müèzen
mir	PPER.*.Dat.Sg.1	mir	ich
si	PPER.*.Akk.Pl.3	si	ër
got	NA.Masc.Nom.Sg.st	got	got
verbieten.>	VVINF	verbieten	verbièten
<nein	ITJ	ânein	ânèin
,	$_	,	,
jâ	PTKANT	jâ	jâ
is	VAFIN.Ind.Pres.Sg.3	is	sîn
si	PPER.Fem.Nom.Sg.3	si	ër
vile	AVD	vile	vile
gût.>	ADJD.Pos	güete	guot
<waz	PW.Neut.Nom.Sg.st	waz	wër
meint	VVFIN.Ind.Pres.Sg.3	meinet	mèinen
denn	AVD	denne	danne
daz	KOUS	daz	dazz
si	PPER.Fem.Nom.Sg.3	si	ër
wê	AVD	wê	wê
tût	VVFIN.Ind.Pres.Sg.3	tuot	tuon
?	$_	?	?
	
><ir	DPOSA	unser	ire
ungemach	NA.Masc,Neut.Nom.Sg.st	ungemach	ungemach
is	VAFIN.Ind.Pres.Sg.3	is	sîn
sûze.>	ADJD.Pos	süeze	süèze
<	PPER.Neut.Akk.Sg.3	ez	ër
got	NA.Masc.Nom.Sg.st	got	got
gebe	VVFIN.Subj.Pres.Sg.3	gebe	gëben
,	$_	,	,
daz	KOUS	daz	dazz
sie	PPER.Fem.Nom.Sg.3	sie	ër
mich	PPER.*.Akk.Sg.1	mich	ich
mûze	VMFIN.Subj.Pres.Sg.3	müeze	müèzen
verren	VVINF	verren	vërren
unde	KON	unde	unte
vermîden	VVINF	vermîden	vermîden
,	$_	,	,
wie	AVW	wie	wiè
soldich	VMFIN.*.Past.Sg.1|PPER.*.Nom.Sg.1	solte|ich	solen|ich
die	DDART.Fem.Akk.Sg.*	die	dër
nôt	NA.Fem.Akk.Sg.st	nôt	nôt
alle	DIN.Fem.Akk.Sg.st	alle	all
erlîden	VVINF	erlîden	erlîden
?	$_	?	?
	
>	KOUS	ob	êr
dîu	DDART.Fem.Nom.Sg.*	diu	dër
mûter	NA.Fem.Nom.Sg.st	muoter	muoter
aber	AVD	aber	aber
wider	AVD	wider	widere
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
<	AVD	an	ane
niht	PTKNEG	niht	niht
envorht	PTKNEG|VVFIN.Subj.Pres.Sg.3	en|vürhte	ne|vürhten
daz	DDART.Neut.Akk.Sg.*	daz	dër
ungemach	NA.Neut.Akk.Sg.st	ungemach	ungemach
,	$_	,	,
merke	VVIMP.Sg.2	merke	mèrken
wie	AVW	wie	wiè
ich	PPER.*.Nom.Sg.1	ich	ich
dirz	PPER.*.Dat.Sg.2|PPER.Neut.Akk.Sg.3	dir|ez	dû|ër
bescheide	VVFIN.*.Pres.Sg.1	bescheide	beschèiden
:	$_	:	:
michel	ADJA.Pos	michel	michel
lieb	NA.Neut.Nom.Sg.st	liep	lièb
kumt	VVFIN.Ind.Pres.Sg.3	kumet	komen
von	APPR	von	von
dem	DDART.Neut.Dat.Sg.*	dem	dër
leide	NA.Neut.Dat.Sg.st	leide	lèid
,	$_	,	,
rûwe	NA.Fem.Nom.Sg.*	riuwe	ruowe
kumt	VVFIN.Ind.Pres.Sg.3	kumet	komen
nâch	APPR	nâch	nâh
ungemache	NA.Masc,Neut.Dat.Sg.st	ungemache	ungemach
.	$_	.	.
	
daz	DDS.Neut.Nom.Sg.*	daz	dër
is	VAFIN.Ind.Pres.Sg.3	is	sîn
ein	DIART.Fem.Nom.Sg.*	ein	èin
trôstlîche	ADJA.Pos.Fem.Nom.Sg.wk	trôstlîche	trôstlich
sache	NA.Fem.Nom.Sg.*	sache	sache
.	$_	.	.
	
gemach	NA.Masc,Neut.Nom.Sg.st	gemach	gemach
kumt	VVFIN.Ind.Pres.Sg.3	kumet	komen
von	APPR	von	von
der	DDART.Fem.Dat.Sg.*	der	dër
arbeit	NA.Fem.Dat.Sg.st	arbeit	arbèit
dicke	AVD	dicke	dicke
ze	APPR	ze	ze
langer	ADJA.Pos.Fem.Dat.Sg.st	langer	lang
stâticheit	NA.Fem.Dat.Sg.st	stæticheit	stætighèit
.	$_	.	.
	
von	APPR	von	von
rouwe	NA.Fem,Masc.Dat.Sg.*	riuwe	riuwe
kumet	VVFIN.Ind.Pres.Sg.3	kumet	komen
wunne	NA.Fem.Nom.Sg.*	wünne	wünne
und	KON	und	unte
froude	NA.Fem.Nom.Sg.*	vröuwede	vröuwede
maneger	DIA.*.Gen.Pl.st	maniger	manig
kunne	NA.Neut.Gen.Pl.st	künne	künne
.	$_	.	.
	
trûren	NA.Neut.Nom.Sg.st	trûren	trûren
machet	VVFIN.Ind.Pres.Sg.3	machet	machen
hôhen	ADJA.Pos.Masc.Akk.Sg.*	hôhen	hôh
mût	NA.Masc.Akk.Sg.st	muot	muot
,	$_	,	,
diu	DDART.Fem.Nom.Sg.*	diu	dër
angest	NA.Fem.Nom.Sg.st	angest	angest
macht	VVFIN.Ind.Pres.Sg.3	machet	machen
die	DDART.Fem.Akk.Sg.*	die	dër
stâte	NA.Fem.Akk.Sg.st	state	state
gût	ADJD.Pos	guot	guot
.	$_	.	.
	
daz	DDS.Neut.Nom.Sg.*	daz	dër
is	VAFIN.Ind.Pres.Sg.3	is	sîn
der	DDART.Fem.Gen.Sg.*	der	dër
minnen	NA.Fem.Gen.Sg.st	minnen	minne
zeichen	NA.Neut.Nom.Sg.st	zeichen	zèichen
:	$_	:	:
lieht	ADJA.Pos.Fem.Nom.Sg.*	lieht	lièht
varwe	NA.Fem.Nom.Sg.*	varwe	varwe
kumt	VVFIN.Ind.Pres.Sg.3	kumet	komen
nâch	APPR	nâch	nâh
der	DDART.Fem.Dat.Sg.*	der	dër
bleichen	ADJA.Pos.Fem.Dat.Sg.wk	bleichen	blèich
,	$_	,	,
diu	DDART.Fem.Nom.Sg.*	diu	dër
vorhte	NA.Fem.Nom.Sg.*	vorhte	vorhte
gît	VVFIN.Ind.Pres.Sg.3	gît	gëben
gûten	ADJA.Pos.Masc.Akk.Sg.*	guoten	guot
trôst	NA.Masc.Akk.Sg.st	trôst	trôst
,	$_	,	,
mit	APPR	mit	mit
dem	DDART.Masc.Dat.Sg.*	dem	dër
dolne	NA.Masc.Dat.Sg.st	dolne	doln
wirt	VAFIN.Ind.Pres.Sg.3	wirdet	wërden
man	PI.*.Nom.Sg.st	man	man
erlôst	VVPP	erlôst	erloèsen
,	$_	,	,
daz	DDART.Neut.Akk.Sg.*	daz	dër
darben	NA.Neut.Akk.Sg.st	darben	darben
tût	VVFIN.Ind.Pres.Sg.3	tuot	tuon
daz	DDART.Neut.Nom.Sg.*	daz	dër
herzerîche	NA.Neut.Akk.Sg.st	herzerîche	hërzenrîche
.	$_	.	.
	
ze	APPR	ze	ze
diseme	DDA.Neut.Dat.Sg.*	diseme	dise
dinge	NA.Neut.Dat.Sg.st	dinge	ding
iegeslîche	DIA.Fem.Nom.Sg.st	iegelîche	iègelich
hât	VAFIN.Ind.Pres.Sg.3	hât	haben
diu	DDART.Fem.Nom.Sg.*	diu	dër
minne	NA.Fem.Nom.Sg.*	minne	minne
solhe	DDA.Fem.Akk.Sg.st	soliche	solich
bûze.>	NA.Fem.Akk.Sg.st	buoze	bûze
<	KOUS	ob	êr
sis	PPER.Fem.Nom.Sg.3|PPER.Neut.Gen.Sg.3	si|es	ër|ër
aber	AVD	aber	aber
von	AVD	von	vone
êrist	AVD.Sup	êreste	êreste
vil	AVD	vile	vile
unsûze	ADJD.Pos	unsüeze	unsüèze
,	$_	,	,
ê	KOUS	êr	êr
diu	DDART.Fem.Nom.Sg.*	diu	dër
senfticheit	NA.Fem.Nom.Sg.st	senfticheit	sèmftighèit
kome	VVFIN.Subj.Pres.Sg.3	kome	komen
?	$_	?	?
	
><dû	PPER.*.Nom.Sg.2	dû	dû
erkennest	VVFIN.*.Pres.Sg.2	erkennest	erkènnen
ir	PPER.Fem.Dat.Sg.3	ir	ër
niht	NA.Neut.Akk.Sg.st	niht	niht
ze	APPR	ze	ze
frome	NA.Fem,Masc.Dat.Sg.*	vrome	vrome
:	$_	:	:
si	PPER.Fem.Nom.Sg.3	si	ër
sûnet	VVFIN.Ind.Pres.Sg.3	süenet	süènen
selbe	DDD.Fem.Nom.Sg.wk	selbe	sëlb
den	DDART.Masc.Akk.Sg.*	den	dër
zorn.>	NA.Masc.Akk.Sg.st	zorn	zorn
<	KOUS	ob	êr
diu	DDART.Fem.Nom.Sg.*	diu	dër
quâle	NA.Fem.Nom.Sg.*	quâle	quâle
is	VAFIN.Ind.Pres.Sg.3	is	sîn
zû	PTKA	zuo	ze
grôz	ADJD.Pos	grôz	grôz
dâ	AVD	dâ	dâr
bevorn.>	AVD	bevorn	bevorne
<	AVD	an	ane
si	PPER.Fem.Nom.Sg.3	si	ër
tût	VVFIN.Ind.Pres.Sg.3	tuot	tuon
daz	DDS.Neut.Akk.Sg.*	daz	dër
dicke	AVD	dicke	dicke
understunden	NA.Fem.Dat.Pl.*	understunden	unterstunte
,	$_	,	,
daz	KOUS	daz	dazz
si	PPER.Fem.Nom.Sg.3	si	ër
heilet	VVFIN.Ind.Pres.Sg.3	heilet	hèilen
die	DDART.*.Akk.Pl.*	die	dër
wunden	NA.Fem.Akk.Pl.st	wunden	wunte
âne	APPR	âne	âne
salben	NA.Fem.Akk.Pl.st	salben	salbe
und	KON	und	unte
âne	APPR	âne	âne
trank.>	NA.Masc,Neut.Akk.Sg.st	tranc	trank
<	KOUS	ob	êr
diu	DDART.Fem.Nom.Sg.*	diu	dër
arbeit	NA.Fem.Nom.Sg.st	arbeit	arbèit
is	VAFIN.Ind.Pres.Sg.3	is	sîn
ab	AVD	ab	aber
ê	AVD	êr	êr
vil	AVD	vile	vile
lank.>	ADJD.Pos	lanc	lang
<tohter	NA.Fem.Nom.Sg.st	tohter	tohter
,	$_	,	,
daz	DDS.Neut.Nom.Sg.*	daz	dër
stêt	VVFIN.Ind.Pres.Sg.3	stêt	stân
an	APPR	an	ane
dem	DDART.Neut.Dat.Sg.*	dem	dër
glucke	NA.Neut.Dat.Sg.st	gelücke	gelücke
.	$_	.	.
	
sô	KO*	sô	sô
man	PI.*.Nom.Sg.st	man	man
gequilet	VVFIN.Ind.Pres.Sg.3	gequilet	gequëlen
ein	DIART	ein	èin
lank	ADJA.Pos	lanc	lang
stucke	NA.Neut.Akk.Sg.st	stücke	stücke
und	KON	und	unte
mit	APPR	mit	mit
arbeiten	NA.Fem,Neut.Dat.Pl.st	arbeiten	arbèit
gelebet	VVFIN.Ind.Pres.Sg.3	gelebet	gelëben
und	KON	und	unte
man	PI.*.Nom.Sg.st	man	man
ungemach	NA.Masc,Neut.Akk.Sg.st	ungemach	ungemach
entsebet	VVFIN.Ind.Pres.Sg.3	entsebet	entsèben
von	APPR	von	von
minnen	NA.Fem.Dat.Sg.st	minnen	minne
,	$_	,	,
als	KO*	als	allsô
ich	PPER.*.Nom.Sg.1	ich	ich
ê	AVD	êr	êr
dâ	AVD	dâ	dâr
sprach	VVFIN.Ind.Past.Sg.1	sprach	sprëchen
,	$_	,	,
und	KON	und	unte
danne	AVD	danne	danne
froude	NA.Fem.Nom.Sg.*	vröuwede	vröuwede
und	KON	und	unte
gemach	NA.Masc,Neut.Akk.Sg.st	gemach	gemach
mit	APPR	mit	mit
dem	DDART.Neut.Dat.Sg.*	dem	dër
heile	NA.Neut.Dat.Sg.st	heile	hèil
dar	PAVD	dâr	dâr
nâch	PAVAP	nâch	nâh
komt	VVFIN.Ind.Pres.Sg.3	komet	komen
,	$_	,	,
wie	AVW	wie	wiè
wol	AVD	wole	wole
ez	PPER.Neut.Nom.Sg.3	ez	ër
dem	DDART.Neut.Dat.Sg.*	dem	dër
herzen	NA.Neut.Dat.Sg.wk	herzen	hërze
gefromt	VVFIN.Ind.Pres.Sg.3	gevrumet	gevromen
und	KON	und	unte
trôstet	VVFIN.Ind.Pres.Sg.3	troestet	troèsten
danne	AVD	danne	danne
den	DDART.Masc.Akk.Sg.*	den	dër
mût	NA.Masc.Akk.Sg.st	muot	muot
,	$_	,	,
wandez	KO*|PPER.Neut.Nom.Sg.3	wande|ez	wante|ër
ime	PPER.Masc.Dat.Sg.3	ime	ër
baz	AVD.Comp	baz	bazz
tût	VVFIN.Ind.Pres.Sg.3	tuot	tuon
unde	KON	unde	unte
senfter	AVD	senfter	samfte
drîzich	CARDA	drîzic	drîzig
warf	VVFIN.Ind.Past.Sg.3	warf	wërfen
,	$_	,	,
dan	KOUS	danne	danne
ders	AVD	ders	dër
niene	AVD	niene	niène
bedarf	VVFIN.Ind.Pres.Sg.3	bedarf	bedurfen
.	$_	.	.
	
des	DDS.Neut.Gen.Sg.*	des	dër
saltû	VMFIN.Ind.Pres.Sg.2|PPER.*.Nom.Sg.2	salt|dû	solen|dû
mir	PPER.*.Dat.Sg.1	mir	ich
von	APPR	von	von
rehte	NA.Neut.Dat.Sg.st	rehte	rëht
jehen	VVINF	jehen	jëhen
.	$_	.	.
	
dû	PPER.*.Nom.Sg.2	dû	dû
hâst	VAFIN.*.Pres.Sg.2	hâst	haben
dicke	AVD	dicke	dicke
wol	AVD	wole	wole
gesehen	VVPP	gesehen	sëhen
,	$_	,	,
wie	AVW	wie	wiè
der	DDART.Masc.Nom.Sg.*	der	dër
hêre	ADJA.Pos.Masc.Nom.Sg.wk	hêre	hêre
amôr	NE.Nom.Sg	Amor	Amor
stêt	VVFIN.Ind.Pres.Sg.3	stêt	stân
in	APPR	in	in
dem	DDART.Neut.Dat.Sg.*	dem	dër
templô	FM	-	-
,	$_	,	,
dâ	AVD	dâ	dâr
man	PI.*.Nom.Sg.st	man	man
in	PTKVZ	în	în
gêt	VVFIN.Ind.Pres.Sg.3	gêt	gân
engegen	APPR	engegen	engègen
der	DDART.Fem.Dat.Sg.*	der	dër
ture	NA.Fem.Dat.Sg.st	türe	türe
inne	PAVAP	inne	inne
,	$_	,	,
daz	DDS.Neut.Nom.Sg.*	daz	dër
bezeichent	VVFIN.Ind.Pres.Sg.3	bezeichenet	bezèichenen
die	DDART.Fem.Akk.Sg.*	die	dër
minne	NA.Fem.Akk.Sg.st	minne	minne
,	$_	,	,
diu	DRELS.Fem.Nom.Sg	diu	dër
gewaldech	ADJD.Pos	gewaltic	gewaltig
is	VAFIN.Ind.Pres.Sg.3	is	sîn
ubr	APPR	über	über
alliu	DIA.Neut.Akk.Pl.st	alliu	all
lant	NA.Neut.Akk.Pl.st	lant	lant
.	$_	.	.
	
ein	DIART.Fem.Akk.Sg.*	ein	èin
buhsen	NA.Fem.Akk.Sg.st	bühsen	bühse
hât	VAFIN.Ind.Pres.Sg.3	hât	haben
her	PPER.Masc.Nom.Sg.3	her	ër
an	APPR	an	ane
der	DDART.Fem.Dat.Sg.*	der	dër
hant	NA.Fem.Dat.Sg.st	hant	hant
,	$_	,	,
in	APPR	in	in
der	DDART.Fem.Dat.Sg.*	der	dër
ander	DIS.Masc.Nom.Sg.wk	ander	ander
zwêne	CARDA.Masc.Akk.Pl.st	zwêne	zwêne
gêre	NA.Fem.Akk.Pl.st	gere	gëre
:	$_	:	:
dâ	PAVD	dâ	dâr
mite	PAVAP	mite	mite
schûzet	VVFIN.Ind.Pres.Sg.3	schiuzet	schièzen
er	PPER.Masc.Nom.Sg.3	er	ër
vil	AVD	vile	vile
sêre	AVD	sêre	sêre
,	$_	,	,
als	KO*	als	allsô
ich	PPER.*.Nom.Sg.1	ich	ich
dir	PPER.*.Dat.Sg.2	dir	dû
sagen	VVINF	sagen	sagen
wolde	VMFIN.*.Past.Sg.1	wolte	wèllen
.	$_	.	.
	
ein	DIART	ein	èin
gêr	NA.Fem.Nom.Sg.*	ger	gëre
is	VAFIN.Ind.Pres.Sg.3	is	sîn
von	APPR	von	von
golde	NA.Neut.Dat.Sg.st	golde	gold
,	$_	,	,
des	DDS.Neut.Gen.Sg.*	des	dër
phleget	VVFIN.Ind.Pres.Sg.3	pfleget	pflègen
her	PPER.Masc.Nom.Sg.3	her	ër
alle	DIA.Fem.Akk.Sg.st	alle	all
stunde	NA.Fem.Akk.Sg.st	stunde	stunte
.	$_	.	.
	
swer	PG.Masc.Nom.Sg.st	swer	swër
sô	PTK	sô	sô
eine	DIART.Fem.Akk.Sg.st	eine	èin
wunde	NA.Fem.Akk.Sg.st	wunde	wunte
dâ	PAVD	dâ	dâr
mite	PAVAP	mite	mite
gewinnet	VVFIN.Ind.Pres.Sg.3	gewinnet	gewinnen
,	$_	,	,
vil	AVD	vile	vile
starklîch	AVD	starclîche	stèrklîche
er	PPER.Masc.Nom.Sg.3	er	ër
minnet	VVFIN.Ind.Pres.Sg.3	minnet	minnen
und	KON	und	unte
lebet	VVFIN.Ind.Pres.Sg.3	lebet	lëben
mit	APPR	mit	mit
arbeite	NA.Fem,Neut.Dat.Sg.st	arbeite	arbèit
.	$_	.	.
	
neheiner	DIA.Fem.Gen.Sg.st	necheiner	nehèin
unstâticheite	NA.Fem.Gen.Sg.st	unstæticheite	unstætighèit
ne	PTKNEG	ne	ne
darf	VMFIN.Ind.Pres.Sg.3	darf	durfen
man	PI.*.Nom.Sg.st	man	man
in	PPER.Masc.Akk.Sg.3	in	ër
zîen	VVINF	ziehen	zièhen
.	$_	.	.
	
der	DDART.Masc.Nom.Sg.*	der	dër
ander	DIA.Masc.Nom.Sg.wk	ander	ander
gêr	NA.Fem.Nom.Sg.*	ger	gëre
is	VAFIN.Ind.Pres.Sg.3	is	sîn
blîen	ADJD.Pos	blîjîn	blîjîn
,	$_	,	,
von	APPR	von	von
deme	DDS.Masc.Dat.Sg.*	deme	dër
tûn	VVFIN.Ind.Pres.Sg.1	tuon	tuon
ich	PPER.*.Nom.Sg.1	ich	ich
dir	PPER.*.Dat.Sg.2	dir	dû
kunt	ADJD.Pos	kunt	kund
:	$_	:	:
swer	PG.Masc.Nom.Sg.st	swer	swër
dâ	PAVD	dâ	dâr
mite	PAVAP	mite	mite
wirdet	VAFIN.Ind.Pres.Sg.3	wirdet	wërden
wunt	ADJD.Pos	wunt	wunt
in	APPR	in	in
sîn	DPOSA.Neut.Akk.Sg.*	sîn	sîn
herze	NA.Neut.Akk.Sg.wk	herze	hërze
enbinnen	AVD	enbinnen	enbinnen
,	$_	,	,
der	DDS.Masc.Nom.Sg.*	der	dër
is	VAFIN.Ind.Pres.Sg.3	is	sîn
der	DDART.Fem.Gen.Sg.*	der	dër
rehten	ADJA.Pos.Fem.Gen.Sg.wk	rehten	rëht
minnen	NA.Fem.Gen.Sg.st	minnen	minne
iemer	AVD	iemer	ièmer
ungehôrsam	ADJD.Pos	ungehôrsam	ungehôrsam
,	$_	,	,
her	PPER.Masc.Nom.Sg.3	her	ër
hazet	VVFIN.Ind.Pres.Sg.3	hazzet	hazzen
unde	KON	unde	unte
is	VAFIN.Ind.Pres.Sg.3	is	sîn
ir	PPER.Fem.Dat.Sg.3	ir	ër
gram	ADJD.Pos	gram	gram
.	$_	.	.
	
swaz	PG.Neut.Nom.Sg.st	swaz	swër
sô	PTK	sô	sô
von	APPR	von	von
minnen	NA.Fem.Dat.Pl.*	minnen	minne
geschiht	VVFIN.Ind.Pres.Sg.3	geschihet	geschëhen
,	$_	,	,
des	DDS.Neut.Gen.Sg.*	des	dër
ne	PTKNEG	ne	ne
lustet	VVFIN.Ind.Pres.Sg.3	lustet	lusten
in	PPER.Masc.Akk.Sg.3	in	ër
niht	PTKNEG	niht	niht
.	$_	.	.
	
solich	DDD.Fem.Nom.Sg.st	solich	solich
is	VAFIN.Ind.Pres.Sg.3	is	sîn
daz	DDART.Neut.Nom.Sg.*	daz	dër
geslehte	NA.Neut.Nom.Sg.st	geslehte	geslèhte
.	$_	.	.
	
wil	VMFIN.Ind.Pres.Sg.2	wilt	wèllen
dû	PPER.*.Nom.Sg.2	dû	dû
nû	AVD	nû	nû
wizzen	VVINF	wizzen	wizzen
rehte	AVD	rehte	rëhte
,	$_	,	,
waz	PW.Neut.Akk.Sg.st	waz	wër
diu	DDART.Fem.Nom.Sg.*	diu	dër
buhse	NA.Fem.Nom.Sg.*	bühse	bühse
