swer	PG.Masc.Nom.Sg.st	swer	swër
wurden	VAFIN.*.Past.Pl.3	wurden	wërden
wol	AVD	wole	wole
behut	VVPP	behuot	behüèten
da	AVD	dâ	dâr
von	APPR	von	von
ayace	NE.Dat.Sg	Ajaxe	Ajax
oileo	NE.Dat.Sg	Olio	Oleus
der	DDS.Masc.Nom.Sg.*	der	dër
behutte	VVFIN.*.Past.Sg.3	behuotte	behüèten
sie	PPER.*.Akk.Pl.3	sie	ër
so	AVD	sô	sô
daz	KOUS	daz	dazz
ir	PPER.*.Gen.Pl.3	ir	ër
deweder	DIS.Masc.Nom.Sg.*	deweder	dewëder
hete	VAFIN.*.Past.Sg.3	hæte	haben
dehein	DIA	dechein	dehèin
ungerete	NA.Neut.Akk.Sg.st	ungeræte	ungeræte
grozzen	ADJA.Pos.Masc.Akk.Sg.*	grôzen	grôz
schaden	NA.Masc.Akk.Sg.*	schaden	schade
sie	PPER.*.Nom.Pl.3	sie	ër
taten	VVFIN.Ind.Past.Pl.3	tâten	tuon
in	APPR	in	in
den	DDART.*.Dat.Pl.*	den	dër
kemennaten	NA.Fem.Dat.Pl.*	kemenâten	kèmenâte
brachen	VVFIN.Ind.Past.Pl.3	brâchen	brëchen
sie	PPER.*.Nom.Pl.3	sie	ër
die	DDART.Fem.Akk.Sg.*	die	dër
zirde	NA.Fem.Akk.Sg.st	zierde	zièrede
abe	PTKVZ	abe	abe
und	KON	und	unte
namen	VVFIN.Ind.Past.Pl.3	nâmen	nëmen
die	DDART.Fem.Akk.Sg.*	die	dër
habe	NA.Fem.Akk.Sg.st	habe	habe
swa	AVG	swâ	swâr
si	PPER.*.Nom.Pl.3	si	ër
sie	PPER.Fem.Akk.Sg.3	sie	ër
funden	VVFIN.*.Past.Pl.3	vunden	vinden
da	AVD	dâ	dâr
die	DDART.*.Nom.Pl.*	die	dër
gote	NA.Masc.Nom.Pl.st	gote	got
stunden	VVFIN.*.Past.Pl.3	stuonden	stân
gezieret	VVPP	gezieret	zièren
harte	AVD	harte	harte
reine	AVD	reine	rèine
mit	APPR	mit	mit
golde	NA.Neut.Dat.Sg.st	golde	gold
und	KON	und	unte
mit	APPR	mit	mit
gesteine	NA.Neut.Dat.Sg.st	gesteine	gestèine
den	DDS.*.Dat.Pl.*	den	dër
namen	VVFIN.Ind.Past.Pl.3	nâmen	nëmen
sie	PPER.*.Nom.Pl.3	sie	ër
ir	DPOSA	ire	ire
zierheit	NA.Fem.Akk.Sg.st	zierheit	zièrhèit
und	KON	und	unte
lizzen	VVFIN.*.Past.Pl.3	liezen	lâzen
in	APPR	in	in
ir	DPOSA	ire	ire
gotheit	NA.Fem.Akk.Sg.st	goteheit	gotehèit
sie	PPER.*.Nom.Pl.3	sie	ër
lizzen	VVFIN.*.Past.Pl.3	liezen	lâzen
den	DDART.Masc.Akk.Sg.*	den	dër
got	NA.Masc.Akk.Sg.st	got	got
unnamen	VVFIN.Ind.Past.Pl.3	unnâmen	unnëmen
daz	DDART.Neut.Akk.Sg.*	daz	dër
golt	NA.Neut.Akk.Sg.st	golt	gold
un	KON	unte	unte
daz	DDART.Neut.Akk.Sg.*	daz	dër
gesteine	NA.Neut.Akk.Sg.st	gesteine	gestèine
dar	PAVD	dâr	dâr
in	PAVAP	in	in
gevult	VVPP	gevult	vüllen
bethus	NA.Neut.Akk.Sg.st	betehûs	bëtehûs
und	KON	und	unte
palas	NA.Masc,Neut.Nom.Sg.st	palas	palas
und	KON	und	unte
allez	DIS.Neut.Nom.Sg.st	allez	all
daz	DRELS.Neut.Nom.Sg	daz	dër
dar	PAVD	dâr	dâr
inne	PAVAP	inne	inne
was	VAFIN.Ind.Past.Sg.3	was	wësen
daz	DDS.Neut.Nom.Sg.*	daz	dër
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
allez	DID.Neut.Nom.Sg.st	allez	all
verkart	VVPP	verkârt	verkêren
unz	KOUS	unz	unze
in	PPER.*.Dat.Pl.3	in	ër
der	DDART.Masc.Nom.Sg.*	der	dër
schatz	NA.Masc.Nom.Sg.st	schatz	schatz
aller	DIN.Masc.Nom.Sg.st	aller	all
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
als	KO*	als	allsô
ich	PPER.*.Nom.Sg.1	ich	ich
ytim	NE.Akk.Sg	Itim	Itis
hore	VVFIN.*.Pres.Sg.1	hoere	hoèren
sagen	VVINF	sagen	sagen
zusamne	AVD	zuosamene	zesamene
hizzen	VVFIN.*.Past.Pl.3	hiezen	hèizen
sie	PPER.*.Nom.Pl.3	sie	ër
ez	PPER.Neut.Akk.Sg.3	ez	ër
tragen	VVINF	tragen	tragen
beide	KON	beide	bèide
schatz	NA.Masc.Akk.Sg.st	schatz	schatz
und	KON	und	unte
gewant	NA.Neut.Akk.Sg.st	gewant	gewant
und	KON	und	unte
swaz	PG.Neut.Akk.Sg.st	swaz	swër
man	PI.*.Nom.Sg.st	man	man
zirden	NA.Fem.Gen.Pl.*	zierden	zièrede
irgen	AVD	iergen	ièrgen
vant	VVFIN.Ind.Past.Sg.3	vant	vinden
daz	DDS.Neut.Akk.Sg.*	daz	dër
hizzen	VVFIN.*.Past.Pl.3	hiezen	hèizen
die	DDS.*.Nom.Pl.*	die	dër
behalden	VVINF	behalten	behalten
die	DRELS.*.Nom.Pl	die	dër
ez	PPER.Neut.Akk.Sg.3	ez	ër
von	APPR	von	von
rechte	NA.Neut.Dat.Sg.st	rehte	rëht
solden	VMFIN.*.Past.Pl.3	solten	solen
walden	VVINF	walten	walten
an	APPR	an	ane
eime	DIART.Masc.Dat.Sg.st	eineme	èin
houffen	NA.Masc.Dat.Sg.*	houfen	houfe
ez	PPER.Neut.Nom.Sg.3	ez	ër
allez	DID.Neut.Nom.Sg.st	allez	all
lac	VVFIN.Ind.Past.Sg.3	lac	ligen
ir	DPOSA	ire	ire
gwin	NA.Masc.Nom.Sg.st	gewin	gewinn
und	KON	und	unte
ir	DPOSA	ire	ire
beiac	NA.Masc.Nom.Sg.st	bejac	bejag
daz	DDS.Neut.Akk.Sg.*	daz	dër
teilten	VVFIN.*.Past.Pl.3	teilten	tèilen
sie	PPER.*.Nom.Pl.3	sie	ër
gliche	AVD	gelîche	gelîche
da	AVD	dâ	dâr
nam	VVFIN.Ind.Past.Sg.3	nam	nëmen
ir	PPER.*.Gen.Pl.3	ir	ër
iegeliche	DIS.Masc.Nom.Sg.wk	iegelîche	iègelich
weder	KO*	weder	wëder
minner	AVD.Comp	minner	minner
noch	KON	noch	noh
vort	AVD	vort	vort
den	DDS.*.Dat.Pl.*	den	dër
nach	APPR	nâch	nâh
dem	DDART.Masc.Dat.Sg.*	dem	dër
werde	NA.Masc,Neut.Dat.Sg.st	werde	wërd
unnach	APPR	unnâch	unnâh
der	DDART.Fem.Dat.Sg.*	der	dër
gebort	NA.Fem.Dat.Sg.st	geburt	geburt
ouch	KO*	ouch	ouch
wurden	VAFIN.*.Past.Pl.3	wurden	wërden
sie	PPER.*.Nom.Pl.3	sie	ër
in	APPR	in	in
ein	CARDS	ein	èin
daz	KOUS	daz	dazz
von	APPR	von	von
den	DDART.*.Dat.Pl.*	den	dër
fieren	CARDS.*.Dat.Pl.st	vieren	vièr
was	VAFIN.Ind.Past.Sg.3	was	wësen
dehein	DIS.Masc.Nom.Sg.*	dechein	dehèin
antenor	NE.Nom.Sg	Andenor	Antenor
noch	KON	noch	noh
polidamas	NE.Nom.Sg	Polidamas	Polidamas
anchises	NE.Nom.Sg	Anchises	Anchises
noch	KON	noch	noh
eneas	NE.Nom.Sg	Eneas	Eneas
sie	PPER.*.Nom.Pl.3	sie	ër
enbehilden	PTKNEG|VVFIN.*.Past.Pl.3	en|behielten	ne|behalten
daz	DDART.Neut.Akk.Sg.*	daz	dër
leben	NA.Neut.Akk.Sg.st	leben	lëben
ouch	AVD	ouch	ouch
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
in	PPER.*.Dat.Pl.3	in	ër
gegeben	VVPP	gegeben	gëben
als	KO*	als	allsô
ez	PPER.Neut.Akk.Sg.3	ez	ër
gesworn	VVPP	gesworen	swèren
hete	VAFIN.*.Past.Sg.3	hæte	haben
diomedes	NE.Nom.Sg	Diomedes	Diomedes
der	DDART.Masc.Nom.Sg.*	der	dër
stete	ADJA.Pos.Masc.Nom.Sg.wk	stæte	stæte
und	KON	und	unte
der	DDART.Masc.Nom.Sg.*	der	dër
wise	ADJA.Pos.Masc.Nom.Sg.wk	wîse	wîse
vlixes	NE.Nom.Sg	Ulixes	Ulixes
ayax	NE.Nom.Sg	Ajax	Ajax
zurnte	VVFIN.*.Past.Sg.3	zurnte	zürnen
underdes	APPR|DDS.Neut.Gen.Sg.*	under|des	unter|dër
uzzer	APPR	ûzer	ûzer
mazzen	NA.Fem.Dat.Pl.*	mâzen	mâze
sere	AVD	sêre	sêre
daz	KOUS	daz	dazz
helena	NE.Nom.Sg	Helena	Helena
genesen	VVPP	genesen	genësen
were	VAFIN.Subj.Past.Sg.3	wære	wësen
er	PPER.Masc.Nom.Sg.3	er	ër
wolde	VMFIN.*.Past.Sg.3	wolte	wèllen
sie	PPER.Fem.Akk.Sg.3	sie	ër
gerne	AVD	gerne	gërne
han	VAINF	hân	haben
erslagen	VVPP	erslagen	erslahen
kume	AVD	kûme	kûme
binnen	APPR	binnen	binnen
drin	CARDA.*.Dat.Pl.st	drîn	drî
tagen	NA.Masc.Dat.Pl.st	tagen	tag
vlixes	NE.Nom.Sg	Ulixes	Ulixes
da	AVD	dâ	dâr
zusamne	AVD	zuosamene	zesamene
treip	VVFIN.Ind.Past.Sg.3	treip	trîben
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
mit	APPR	mit	mit
gemache	NA.Neut.Dat.Sg.st	gemache	gemach
bleip	VVFIN.Ind.Past.Sg.3	beleip	belîben
cassandra	NE.Nom.Sg	Cassandra	Cassandra
quam	VVFIN.Ind.Past.Sg.3	quam	komen
gande	VVPS	gânte	gân
agomennon	NE.Nom.Sg	Agomennon	Agomennon
wande	KO*	wande	wante
daz	KOUS	daz	dazz
im	PPER.Masc.Dat.Sg.3	im	ër
der	DDART.Fem.Gen.Sg.*	der	dër
claren	ADJA.Pos.Fem.Gen.Sg.wk	klâren	klâr
sunnen	NA.Fem.Gen.Sg.*	sunnen	sunne
schein	NA.Masc.Nom.Sg.*	schein	schîne
blicte	VVFIN.*.Past.Sg.3	blickete	blicken
under	APPR	under	unter
die	DDART.*.Akk.Pl.*	die	dër
ougen	NA.Neut.Akk.Pl.wk	ougen	ouge
sin	DPOSN	sîn	sîn
so	AVD	sô	sô
wol	AVD	wole	wole
was	VAFIN.Ind.Past.Sg.3	was	wësen
sie	PPER.Fem.Nom.Sg.3	sie	ër
getan	VVPP	getân	tuon
er	PPER.Masc.Nom.Sg.3	er	ër
wolde	VMFIN.*.Past.Sg.3	wolte	wèllen
sie	PPER.Fem.Akk.Sg.3	sie	ër
zu	APPR	zuo	ze
wibe	NA.Neut.Dat.Sg.st	wîbe	wîb
han	VAINF	hân	haben
mit	APPR	mit	mit
ir	PPER.Fem.Dat.Sg.3	ir	ër
ginc	VVFIN.Ind.Past.Sg.3	gienc	gân
dimena	NE.Nom.Sg	Dimena	Dimena
und	KON	und	unte
ir	DPOSA	ire	ire
gellin	NA.Neut.Nom.Sg.st	gellîn	gèllîn
ethra	NE.Nom.Sg	Ethra	Ethra
ir	PPER.*.Gen.Pl.3	ir	ër
itweder	DIS.Fem.Nom.Sg.*	ietweder	ièdwëder
harte	AVD	harte	harte
schone	ADJD.Pos	schoene	schoène
was	VAFIN.Ind.Past.Sg.3	was	wësen
die	DDART.Fem.Nom.Sg.*	die	dër
eine	CARDS.Fem.Akk.Sg.st	eine	èin
nam	VVFIN.Ind.Past.Sg.3	nam	nëmen
achmas	NE.Nom.Sg	Achmas	Achmas
die	DDART.*.Akk.Pl.*	die	dër
andern	DIS.Fem.Akk.Sg.wk	andern	ander
demophon	NE.Nom.Sg	Demophon	Demophon
hern	NA.Masc.Gen.Sg.*	hêrrn	hêrre
priamis	NE.Gen.Sg	Priamis	Priamus
son	NA.Masc.Nom.Sg.st	sun	sun
helenus	NE.Nom.Sg	Helenus	Helenus
der	DDART.Masc.Nom.Sg.*	der	dër
wissage	NA.Masc.Nom.Sg.wk	wîssage	wîssage
der	DDS.Masc.Nom.Sg.*	der	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
zu	APPR	zuo	ze
strite	NA.Masc.Dat.Sg.st	strîte	strît
ein	DIART	ein	èin
zoge	NA.Masc.Nom.Sg.wk	zoge	zage
des	DDS.Neut.Gen.Sg.*	des	dër
genoz	VVFIN.Ind.Past.Sg.3	genôz	genièzen
er	PPER.Masc.Nom.Sg.3	er	ër
da	AVD	dâ	dâr
der	DDART.Fem.Gen.Sg.*	der	dër
zageheit	NA.Fem.Gen.Sg.st	zageheit	zagehèit
daz	KOUS	daz	dazz
im	PPER.Masc.Dat.Sg.3	im	ër
nie	AVD	nie	niè
geschach	VVFIN.Ind.Past.Sg.3	geschach	geschëhen
leit	NA.Neut.Nom.Sg.st	leit	lèid
andromacha	NE.Nom.Sg	Andromacha	Andromacha
hectoris	NE.Gen.Sg	Hectoris	Hector
wip	NA.Neut.Nom.Sg.st	wîp	wîb
die	DDS.*.Nom.Pl.*	die	dër
behutten	VVFIN.*.Past.Pl.3	behuotten	behüèten
ouch	AVD	ouch	ouch
irn	DPOSA.Masc.Akk.Sg.st	iren	ire
lip	NA.Masc.Akk.Sg.st	lîp	lîb
sie	PPER.*.Nom.Pl.3	sie	ër
waren	VAFIN.Ind.Past.Pl.3	wâren	wësen
gut	ADJD.Pos	guot	guot
beide	KON	beide	bèide
des	DDS.Neut.Gen.Sg.*	des	dër
bliben	VVFIN.*.Past.Pl.3	beliben	belîben
sie	PPER.*.Nom.Pl.3	sie	ër
ane	APPR	âne	âne
leide	NA.Fem.Akk.Sg.st	leide	lèide
von	APPR	von	von
cassandren	NE.Dat.Sg	Cassandren	Cassandra
und	KON	und	unte
heleno	NE.Dat.Sg	Helenô	Helenus
wurden	VAFIN.*.Past.Pl.3	wurden	wërden
die	DDART.*.Nom.Pl.*	die	dër
crichen	NA.Masc.Nom.Pl.*	Kriechen	Krièche
gebeten	VVPP	gebeten	biten
so	AVD	sô	sô
daz	KOUS	daz	dazz
ir	DPOSA	ire	ire
muter	NA.Fem.Nom.Sg.st	muoter	muoter
ecuba	NE.Nom.Sg	Ecuba	Hecuba
irn	DPOSA.Masc.Akk.Sg.st	iren	ire
lip	NA.Masc.Akk.Sg.st	lîp	lîb
behilt	VVFIN.Ind.Past.Sg.3	behielt	behalten
da	PAVD	dâ	dâr
um	APPR	umbe	umbe
hectoris	NE.Gen.Sg	Hectoris	Hector
sune	NA.Masc.Nom.Pl.st	süne	sun
zwene	CARDN.Masc.Nom.Pl.st	zwêne	zwêne
daz	DDS.Neut.Nom.Sg.*	daz	dër
was	VAFIN.Ind.Past.Sg.3	was	wësen
unwene	ADJD.Pos	unwæne	unwæne
daz	KOUS	daz	dazz
ez	PPER.Neut.Nom.Sg.3	ez	ër
so	AVD	sô	sô
geschee	VVFIN.Subj.Past.Sg.3	geschæhe	geschëhen
wendaz	KOUS	wen_daz	wan_dazz
mit	APPR	mit	mit
grozzer	ADJA.Pos.Fem.Dat.Sg.st	grôzer	grôz
flehe	NA.Fem.Dat.Sg.st	vlêhe	vlêhe
der	DRELS.Masc.Nom.Sg	der	dër
cassandren	NE.Akk.Sg	Cassandren	Cassandra
hete	VAFIN.*.Past.Sg.3	hæte	haben
behat	VVPP	behabet	behaben
agomennon	NE.Nom.Sg	Agomennon	Agomennon
darumbe	PAVD|PAVAP	dâr|umbe	dâr|umbe
bat	VVFIN.Ind.Past.Sg.3	bat	biten
durch	APPR	durch	durh
cassandren	NE.Akk.Sg	Cassandren	Cassandra
eine	AVD	eine	èine
genasen	VVINF	genasen	genasen
alle	DIA.*.Nom.Pl.st	alle	all
gemeine	AVD	gemeine	gemèine
die	DDART.*.Nom.Pl.*	die	dër
frowen	NA.Fem.Nom.Pl.st	vrouwen	vrouwe
von	APPR	von	von
ylion	NE.Dat.Sg	Ilion	Ilion
des	DDS.Neut.Gen.Sg.*	des	dër
half	VVFIN.Ind.Past.Sg.3	half	hëlfen
agomennon	NE.Nom.Sg	Agomennon	Agomennon
wen	KO*	wente	wante
man	PI.*.Nom.Sg.st	man	man
durch	APPR	durch	durh
sine	DPOSA.Fem.Akk.Sg.st	sîne	sîn
bete	NA.Fem.Akk.Sg.st	bete	bëte
harte	AVD	harte	harte
gerne	AVD	gerne	gërne
da	AVD	dâ	dâr
tete	VVFIN.Subj.Past.Sg.3	tæte	tuon
den	DDART.*.Dat.Pl.*	den	dër
frowen	NA.Fem.Dat.Pl.*	vrouwen	vrouwe
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
fride	NA.Masc.Nom.Sg.*	vride	vride
gegeben	VVPP	gegeben	gëben
und	KON	und	unte
was	VAFIN.Ind.Past.Sg.3	was	wësen
allez	DIS.Neut.Akk.Sg.st	allez	all
worden	VAPP	worden	wërden
eben	AVD	eben	ëbene
sie	PPER.*.Nom.Pl.3	sie	ër
wolden	VMFIN.*.Past.Pl.3	wolten	wèllen
zu	APPR	zuo	ze
lande	NA.Neut.Dat.Sg.st	lande	lant
keren	VVINF	kêren	kêren
e	KOUS	êr	êr
sie	PPER.*.Nom.Pl.3	sie	ër
kumen	VVPP	kumen	komen
weren	VAFIN.Subj.Past.Pl.3	wæren	wësen
uz	APPR	ûz	ûz
der	DDART.Fem.Dat.Sg.*	der	dër
porten	NA.Fem.Dat.Sg.st	porten	porte
sie	PPER.*.Nom.Pl.3	sie	ër
sahen	VVFIN.Ind.Past.Pl.3	sâhen	sëhen
und	KON	und	unte
horten	VVFIN.*.Past.Pl.3	hôrten	hoèren
ein	DIART	ein	èin
weter	NA.Neut.Akk.Sg.st	weter	wëter
harte	AVD	harte	harte
swinde	ADJN	swinde	swinde
daz	DDART.Neut.Akk.Sg.*	daz	dër
mer	NA.Neut.Akk.Sg.st	mer	mère
von	APPR	von	von
dem	DDART.Masc.Dat.Sg.*	dem	dër
winde	NA.Masc.Dat.Sg.st	winde	wint
sluc	VVFIN.Ind.Past.Sg.3	sluoc	slahen
uf	PTKVZ	ûf	ûf
und	KON	und	unte
nider	AVD	nider	nidere
sie	PPER.*.Nom.Pl.3	sie	ër
karten	VVFIN.*.Past.Pl.3	kârten	kêren
in	APPR	in	in
die	DDART.Fem.Akk.Sg.*	die	dër
stat	NA.Fem.Akk.Sg.st	stat	stat
wider	AVD	wider	widere
in	APPR	in	in
eime	DIART.Masc.Dat.Sg.st	eineme	èin
mande	NA.Masc.Dat.Sg.*	mânde	mânde
ez	PPER.Neut.Nom.Sg.3	ez	ër
nie	AVD	nie	niè
gelac	VVFIN.Ind.Past.Sg.3	gelac	geligen
beide	KON	beide	bèide
nacht	NA.Fem.Akk.Sg.st	naht	naht
und	KON	und	unte
tac	NA.Masc.Akk.Sg.st	tac	tag
tegeliche	AVD	tagelîche	tagelîche
starc	ADJD.Pos	starc	stark
ez	PPER.Neut.Nom.Sg.3	ez	ër
was	VAFIN.Ind.Past.Sg.3	was	wësen
do	AVD	dô	dô
saugete	VVFIN.*.Past.Sg.3	sagete	sagen
calcas	NE.Nom.Sg	Calcas	Calcas
ir	DPOSA	ire	ire
prister	NA.Masc.Nom.Sg.st	priester	prièster
und	KON	und	unte
ir	DPOSA	ire	ire
wissage	NA.Masc.Nom.Sg.wk	wîssage	wîssage
daz	DRELS.Neut.Nom.Sg	daz	dër
in	APPR	in	in
der	DDART.Fem.Dat.Sg.*	der	dër
helle	NA.Fem.Dat.Sg.st	helle	hèlle
hete	VAFIN.*.Past.Sg.3	hæte	haben
klage	NA.Fem.Akk.Sg.st	klage	klage
megera	NE.Nom.Sg	Megera	Megera
und	KON	und	unte
allecto	AVD	alleckete	allezztes
dise	DDA.*.Nom.Pl.*	dise	dise
furie	NA.Fem.Nom.Sg.*	vurî	vurîe
zwo	CARDS.Fem.Nom.Pl.st	zwô	zwêne
und	KON	und	unte
thesifone	NE.Nom.Sg	Thesifone	Thesifone
der	PAVD	dâr	dâr
mite	PAVAP	mite	mite
durch	APPR	durch	durh
ir	PPER.*.Gen.Pl.3	ir	ër
driger	CARDD.*.Gen.Pl.st	drîer	drî
unsite	NA.Fem,Masc.Akk.*.*	unsite	unsite
was	VAFIN.Ind.Past.Sg.3	was	wësen
von	APPR	von	von
winde	NA.Masc.Dat.Sg.st	winde	wint
und	KON	und	unte
von	APPR	von	von
waze	NA.Neut.Dat.Sg.st	wazze	wazzer
uf	APPR	ûf	ûf
dem	DDART.Neut.Dat.Sg.*	dem	dër
mere	NA.Neut.Dat.Sg.st	mere	mère
die	DDART.Fem.Nom.Sg.*	die	dër
unmaze	NA.Fem.Nom.Sg.*	unmâze	unmâze
daz	KOUS	daz	dazz
ich	PPER.*.Nom.Sg.1	ich	ich
ez	PPER.Neut.Akk.Sg.3	ez	ër
uch	PPER.*.Dat.Pl.2	iuch	ir
gesagen	VVINF	gesagen	gesagen
niet	PTKNEG	niet	niht
enkan	PTKNEG|VMFIN.Ind.Pres.Sg.1	en|kan	ne|kunnen
weder	KO*	weder	wëder
wip	NA.Neut.Nom.Sg.st	wîp	wîb
noch	KON	noch	noh
man	NA.Masc.Nom.Sg.st	man	mann
sie	PPER.*.Nom.Pl.3	sie	ër
haben	VAFIN.*.Pres.Pl.3	haben	haben
darumbe	PAVD|PAVAP	dâr|umbe	dâr|umbe
zorn	NA.Masc.Akk.Sg.st	zorn	zorn
daz	KOUS	daz	dazz
achilles	NE.Nom.Sg	Achilles	Achilles
hette	VAFIN.*.Past.Sg.3	hette	haben
verlorn	VVPP	verloren	verlièsen
den	DDART.Masc.Akk.Sg.*	den	dër
lip	NA.Masc.Akk.Sg.st	lîp	lîb
durch	APPR	durch	durh
polixenam	NE.Akk.Sg	Polixenam	Polixena
und	KON	und	unte
ir	PPER.Fem.Dat.Sg.3	ir	ër
nieman	DIA.*.Nom.Sg.st	nieman	nièmannd
den	DDART.Masc.Akk.Sg.*	den	dër
lip	NA.Masc.Akk.Sg.st	lîp	lîb
nam	VVFIN.Ind.Past.Sg.3	nam	nëmen
ne	PTKNEG	ne	ne
were	VAFIN.Subj.Past.Sg.3	wære	wësen
des	DDS.Neut.Gen.Sg.*	des	dër
niht	NA.Neut.Nom.Sg.st	niht	niht
geschen	VVPP	geschên	geschëhen
sie	PPER.*.Nom.Pl.3	sie	ër
enhetten	PTKNEG|VAFIN.*.Past.Pl.3	en|hetten	ne|haben
nimmer	AVD	niemer	nièmer
mer	AVD.Comp	mêr	mêre
gesehen	VVPP	gesehen	sëhen
schone	ADJA.Pos.*.Akk.Pl.st	schoene	schoène
weter	NA.Neut.Akk.Sg.st	weter	wëter
zu	APPR	zuo	ze
irre	DPOSA.Fem.Dat.Sg.st	irere	ire
vart	NA.Fem.Dat.Sg.st	vart	vart
do	KOUS	dô	dô
pyrro	NE.Dat.Sg	Pirrô	Pirrus
daz	DDS.Neut.Nom.Sg.*	daz	dër
zu	APPR	zuo	ze
wizzen	NA.Neut.Dat.Sg.*	wizzen	wizzen
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
durch	APPR	durch	durh
sinen	DPOSA.Masc.Akk.Sg.st	sînen	sîn
vater	NA.Masc.Akk.Sg.st	vater	vater
achillen	NE.Akk.Sg	Achillen	Achilles
und	KON	und	unte
durch	APPR	durch	durh
der	DDART.*.Gen.Pl.*	der	dër
frowen	NA.Fem.Gen.Sg.st	vrouwen	vrouwe
willen	NA.Masc.Akk.Sg.*	willen	wille
suchete	VVFIN.*.Past.Sg.3	suochete	suochen
er	PPER.Masc.Nom.Sg.3	er	ër
die	DDART.Fem.Akk.Sg.*	die	dër
maget	NA.Fem.Akk.Sg.st	maget	maged
san	AVD	sân	sân
sie	PPER.*.Nom.Pl.3	sie	ër
hetten	VAFIN.*.Past.Pl.3	hetten	haben
bi	APPR	bî	bî
der	DDART.Fem.Dat.Sg.*	der	dër
zit	NA.Fem.Dat.Sg.st	zît	zît
wandaz	KOUS	wan_daz	wan_dazz
sie	PPER.*.Nom.Pl.3	sie	ër
heten	VAFIN.*.Past.Pl.3	hæten	haben
sulchen	DDA.Masc.Akk.Sg.st	solichen	solich
gewalt	NA.Masc.Akk.Sg.st	gewalt	gewalt
wen	PW.Masc.Akk.Sg.st	wen	wër
sie	PPER.*.Nom.Pl.3	sie	ër
quelten	VVFIN.*.Past.Pl.3	quelten	quèlen
der	DDS.Masc.Nom.Sg.*	der	dër
wer	VAFIN.Subj.Past.Sg.3	wær	wësen
gequalt	VVPP	gequalt	quèlen
sie	PPER.*.Nom.Pl.3	sie	ër
mochten	VMFIN.*.Past.Pl.3	mohten	mügen
ouch	AVD	ouch	ouch
ruwe	NA.Fem.Akk.Sg.st	ruowe	ruowe
geben	VVINF	geben	gëben
die	DDART.*.Nom.Pl.*	die	dër
crichen	NA.Masc.Nom.Pl.*	Kriechen	Krièche
begunden	VVFIN.*.Past.Pl.3	begunden	beginnen
derane	PAVD|PAVAP	dâr|ane	dâr|ane
streben	VVINF	streben	strëben
als	KO*	als	allsô
in	PPER.*.Dat.Pl.3	in	ër
calcas	NE.Nom.Sg	Calcas	Calcas
hette	VAFIN.*.Past.Sg.3	hette	haben
gesagit	VVPP	gesaget	sagen
daz	KOUS	daz	dazz
in	PPER.*.Dat.Pl.3	in	ër
wurde	VAFIN.Subj.Past.Sg.3	würde	wërden
die	DDART.Fem.Nom.Sg.*	die	dër
maget	NA.Fem.Nom.Sg.st	maget	maged
sie	PPER.*.Nom.Pl.3	sie	ër
suchten	VVFIN.*.Past.Pl.3	suocheten	suochen
her	AVD	her	hëre
und	KON	und	unte
dare	AVD	dare	dare
in	APPR	in	in
eime	DIART.Neut.Dat.Sg.st	eineme	èin
gaden	NA.Neut.Dat.Sg.st	gademe	gadem
wart	VAFIN.Ind.Past.Sg.3	wart	wërden
ir	PPER.*.Gen.Pl.3	ir	ër
gewar	ADJD.Pos	gewar	geware
der	DDART.Masc.Nom.Sg.*	der	dër
ungetruwe	ADJA.Pos.Masc.Nom.Sg.wk	ungetriuwe	ungetriuwe
antenor	NE.Nom.Sg	Andenor	Antenor
der	DDS.Masc.Nom.Sg.*	der	dër
zoch	VVFIN.Ind.Past.Sg.3	zôch	zièhen
sie	PPER.Fem.Akk.Sg.3	sie	ër
mit	APPR	mit	mit
dem	DDART.Masc.Dat.Sg.*	dem	dër
arme	NA.Masc.Dat.Sg.st	arme	arm
herfor	PAVD|PAVAP	her|vore	hëre|vüre
agomennon	NE.Nom.Sg	Agomennon	Agomennon
zu	APPR	zuo	ze
im	PPER.Masc.Dat.Sg.3	im	ër
nam	VVFIN.Ind.Past.Sg.3	nam	nëmen
die	DDART.Fem.Akk.Sg.*	die	dër
schonen	ADJA.Pos.Fem.Akk.Sg.wk	schoenen	schoène
polixenam	NE.Akk.Sg	Polixenam	Polixena
und	KON	und	unte
entwurte	VVFIN.*.Past.Sg.3	antwurte	antwürten
sie	PPER.Fem.Akk.Sg.3	sie	ër
pyrro	NE.Dat.Sg	Pirrô	Pirrus
vlixes	NE.Nom.Sg	Ulixes	Ulixes
rit	VVFIN.Ind.Past.Sg.3	riet	râten
im	PPER.Masc.Dat.Sg.3	im	ër
do	AVD	dô	dô
daz	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
sie	PPER.Fem.Akk.Sg.3	sie	ër
hinwec	AVD	hinewec	hinewëg
truge	VVFIN.Subj.Past.Sg.3	trüege	tragen
und	KON	und	unte
zu	APPR	zuo	ze
tode	NA.Masc.Dat.Sg.st	tôde	tôd
