o	ITJ	ô	ô
,	$_	,	,
ettlich	DIS.Masc.Nom.Sg.*	eteslich	ëteslich
durch	APPR	durch	durh
mynne	NA.Fem.Gen.Sg.st	minne	minne
gelde	NA.Masc,Neut.Akk.Sg.st	gelt	gëlt
.	$_	.	.
	
do	AVD	dô	dô
ward	VAFIN.Ind.Past.Sg.3	wart	wërden
der	DDS.Masc.Nom.Sg.*	der	dër
streyt	NA.Masc.Nom.Sg.st	strît	strît
sich	PRF.Akk.*.*	sich	sich
graussamlich	AVD	grâvesamlîche	grâvesamlîche
mofieren	VVINF	movieren	movièren
.	$_	.	.
	
do	AVD	dô	dô
sach	VVFIN.Ind.Past.Sg.3	sach	sëhen
man	PI.*.Nom.Sg.st	man	man
drunzun	PAVD|PAVAP	dâr|unzen	dâr|unzen
auf	PTKVZ	ûf	ûf
gen	VVINF	gên	gân
höche	AVD	hôhe	hôhe
fliegen	VVINF	vliegen	vliègen
;	$_	;	;
von	APPR	von	von
starker	ADJA.Pos.Fem.Gen.Sg.st	starker	stark
thiost	NA.Fem.Gen.Sg.*	<unknown>	tjoste
hurte	NA.Fem,Masc.Dat.Sg.*	hurte	hurte
des	DDART.Masc.Gen.Sg.*	des	dër
tags	NA.Masc.Gen.Sg.st	tages	tag
der	DDART.Masc.Nom.Sg.*	der	dër
tod	NA.Masc.Nom.Sg.st	tôt	tôd
tet	VVFIN.*.Past.Sg.3	tet	tuon
mangen	DIA.*.Dat.Pl.st	manigen	manig
lebens	NA.Masc,Neut.Gen.Sg.st	lebenes	lëben
triegen	VVINF	triegen	triègen
.	$_	.	.
	
nu	AVD	nû	nû
sassen	VVIMP.Sg.2|PPER.Masc.Akk.Sg.3	saz|in	satzen|ër
in	APPR	in	in
den	DDART.*.Dat.Pl.*	den	dër
venstern	NA.Neut.Dat.Pl.st	venstern	vënster
die	DDART.Fem.Nom.Sg.*	die	dër
küniginnen	NA.Fem.Nom.Sg.*	küninginne	küninginne
weyt	AVD	wît	wîte
erkandt	VVPP	erkant	erkènnen
,	$_	,	,
der	DDART.Fem.Gen.Sg.*	der	dër
wat	NA.Fem.Gen.Sg.st	wât	wât
von	APPR	von	von
golld	NA.Neut.Dat.Sg.st	golde	gold
gund	VVFIN.*.Past.Sg.3	gunde	gunnen
glensteren	NA.Masc.Nom.Pl.*	glensteren	glènstere
:	$_	:	:
fraw	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
ginofer	NE.Nom.Sg	Ginofer	Ginofer
und	KON	und	unte
die	DDS.*.Nom.Pl.*	die	dër
von	APPR	von	von
moloandt	NE.Dat.Sg	<unknown>	<unknown>
.	$_	.	.
	
dagegen	AVD	tagegen	engègene
tet	VVFIN.*.Past.Sg.3	tet	tuon
her	PPER.Masc.Nom.Sg.3	her	ër
lannzilet	NE.Gen.Sg	<unknown>	<unknown>
sunst	NA.Fem.Akk.Sg.st	sunst	sunst
gaffen	VVPP	gegâfen	gëben
,	$_	,	,
das	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
sein	PPER.Masc.Gen.Sg.3	sîn	ër
selb	DDD.Masc.Nom.Sg.wk	selp	sëlb
allsus	AVD	alsus	allsus
vergas	VVFIN.Ind.Past.Sg.3	vergaz	vergëzzen
,	$_	,	,
das	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
dort	AVD	dort	dort
hiellte	VVFIN.Subj.Past.Sg.3	hielte	halten
still	AVD	still	stille
gleich	ADJD.Pos	gelîch	gelîch
ainem	DIART.Masc.Dat.Sg.st	einem	èin
affen	NA.Masc.Dat.Sg.wk	affen	affe
.	$_	.	.
	
-	$_	-	-
fraw	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
minn	NA.Fem.Nom.Sg.*	minne	minne
,	$_	,	,
gar	AVD	gar	gare
ungestraffet	ADJD.Pos	ungestraffet	ungestraffet
welt	VMFIN.*.Pres.Pl.2	wellt	wèllen
ir	PPER.*.Nom.Pl.2	ir	ir
ye	AVD	ie	iè
allzeit	DIA.Fem.Akk.Sg.st|NA.Fem.Akk.Sg.st	al|zît	all|zît
wesen	VAINF	wesen	wësen
;	$_	;	;
nu	AVD	nû	nû
secht	VVIMP.Pl.2	sehet	sëhen
,	$_	,	,
was	PW.Neut.Akk.Sg.st	waz	wër
ir	PPER.*.Nom.Pl.2	ir	ir
hie	AVD	hier	hièr
schaffet	VVFIN.*.Pres.Pl.2	schaffet	schaffen
an	APPR	an	ane
disem	DDA.Masc.Dat.Sg.*	disem	dise
mann	NA.Masc.Dat.Sg.st	manne	mann
,	$_	,	,
der	DDART.Fem.Gen.Sg.*	der	dër
manhait	NA.Fem.Gen.Sg.st	manheit	mannhèit
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
erlesen	VVPP	erlesen	erlësen
,	$_	,	,
der	DDART.Masc.Nom.Sg.*	der	dër
unerforcht	ADJD.Pos	unervorht	unervorht
in	PTKNEG	en	ne
streyt	VVFIN.Ind.Past.Sg.3	streit	strîten
sich	PRF.Akk.*.*	sich	sich
ye	AVD	ie	iè
liess	NA.Neut.Gen.Sg.st	lieses	liès
vinden	VVINF	vinden	vinden
,	$_	,	,
der	DDS.Masc.Nom.Sg.*	der	dër
hielt	VVFIN.Ind.Past.Sg.3	hielt	halten
zu	APPR	zuo	ze
spot	NA.Masc.Dat.Sg.st	spotte	spott
gemainer	ADJA.Pos.Fem.Dat.Sg.st	gemeiner	gemèine
diet	NA.Fem.Dat.Sg.st	diet	dièt
!	$_	!	!
	
was	PW.Neut.Nom.Sg.st	waz	wër
solls	VMFIN.*.Pres.Pl.3|PPER.*.Nom.Pl.3	solen|si	solen|ër
,	$_	,	,
das	KOUS	daz	dazz
ewer	DPOSA	iuwer	iuwer
strenng	NA.Masc.Nom.Sg.st	strenc	<unknown>
in	PPER.Masc.Akk.Sg.3	in	ër
suss	AVD	sus	sus
tuet	VVFIN.Ind.Pres.Sg.3	tuot	tuon
pinden	VVINF	binden	binten
?	$_	?	?
	
hie	AVD	hier	hièr
ist	VAFIN.Ind.Pres.Sg.3	ist	sîn
nicht	PTKNEG	niht	niht
stat	NA.Fem.Nom.Sg.st	stat	stat
zu	APPR	zuo	ze
schimpfen	NA.Neut.Dat.Sg.st	schimpfen	schimpfen
!	$_	!	!
	
er	PPER.Masc.Nom.Sg.3	er	ër
sollt	VMFIN.*.Past.Sg.3	solte	solen
allanders	AVD	alanders	allanderes
werben	VVINF	werben	wërben
.	$_	.	.
	
ir	PPER.*.Nom.Pl.2	ir	ir
secht	VVFIN.*.Pres.Pl.2	sehet	sëhen
den	DDS.Masc.Akk.Sg.*	den	dër
streit	NA.Masc.Akk.Sg.st	strît	strît
hie	AVD	hier	hièr
tymphen	VVINF	timpfen	timpfen
;	$_	;	;
ir	DPOSA	ire	ire
schait	NA.Masc.Akk.Sg.st	scheit	schèid
nur	AVD	niur	niur
,	$_	,	,
das	KOUS	daz	dazz
sein	DPOSA	sîn	sîn
preys	NA.Masc.Nom.Sg.st	prîs	prîs
hie	AVD	hier	hièr
mues	VMFIN.*.Past.Sg.3	muose	müèzen
verderben	VVINF	verderben	verdërben
,	$_	,	,
ob	KOUS	ob	obe
ir	PPER.*.Nom.Pl.2	ir	ir
in	PPER.Masc.Akk.Sg.3	in	ër
nicht	PTKNEG	niht	niht
erlasset	VVFIN.*.Pres.Pl.2	erlâzet	erlazzen
ewer	DPOSA	iuwer	iuwer
tucke	NA.Fem.Akk.Sg.st	tücke	tücke
.	$_	.	.
	
lat	VVIMP.Pl.2	lât	lâzen
ab	PTKVZ	ab	abe
,	$_	,	,
löst	VVIMP.Pl.2	lâzet	loèsen
auf	APPR	ûf	ûf
der	DDART.Fem.Gen.Sg.*	der	dër
mynne	NA.Fem.Gen.Sg.st	minne	minne
pannt	NA.Neut.Akk.Sg.st	<unknown>	bant
,	$_	,	,
so	AVD	sô	sô
das	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
sper	NA.Neut.Akk.Sg.st	sper	spër
zerprech	VVFIN.Subj.Pres.Sg.3	zerbreche	zerbrëchen
in	APPR	in	in
mange	DIA.*.Akk.Pl.st	manige	manig
stucke	NA.Neut.Akk.Pl.st	stücke	stücke
!	$_	!	!
	
-	$_	-	-
do	AVD	dô	dô
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
zer	APPR|DDART.Fem.Dat.Sg.*	ze|der	ze|dër
küniginne	NA.Fem.Dat.Sg.st	küninginne	küninginne
die	DDART.Fem.Nom.Sg.*	die	dër
fraw	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
von	APPR	von	von
moloand	NE.Dat.Sg	Moloant	Moloand
:	$_	:	:
<fraw	NA.Fem.Nom.Sg.*	<unknown>	<unknown>
,	$_	,	,
ir	PPER.*.Nom.Pl.2	ir	ir
sollt	VMFIN.*.Pres.Pl.2	solet	solen
sennden	VVINF	senden	sènten
hinne	AVD	hinne	hinne
ain	DIART	ein	èin
maget	NA.Fem.Akk.Sg.st	maget	maged
,	$_	,	,
die	DRELS.Fem.Nom.Sg	die	dër
dem	DDART.Masc.Dat.Sg.*	dem	dër
ritter	NA.Masc.Dat.Sg.st	ritter	rîtære
thue	AVD	dô	<unknown>
bekandt	VVPP	bekant	bekènnen
,	$_	,	,
das	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
durch	APPR	durch	durh
euch	PPER.*.Akk.Pl.2	iuch	ir
und	KON	und	unte
uns	PPER.*.Akk.Pl.1	uns	wir
zer	APPR|DDART.Fem.Dat.Sg.*	ze|der	ze|dër
thiost	NA.Fem.Dat.Sg.*	<unknown>	tjoste
reite	VVFIN.Subj.Past.Sg.3	reite	rèden
;	$_	;	;
ich	PPER.*.Nom.Sg.1	ich	ich
prüef	VVFIN.Ind.Pres.Sg.1	<unknown>	prüèven
an	APPR	an	ane
seinem	DPOSA.Neut.Dat.Sg.st	sînem	sîn
geferrt	NA.Neut.Dat.Sg.st	geverte	gevèrte
,	$_	,	,
das	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
in	PPER.Masc.Akk.Sg.3	in	ër
drenng	VVINF	<unknown>	<unknown>
kan	VMFIN.Ind.Pres.Sg.3	kan	kunnen
machen	VVINF	machen	machen
lucken	VVINF	lücken	lücken
gar	AVD	gar	gare
vil	AVD	vile	vile
weyte.>	AVD	wîte	wëtere
do	AVD	dô	dô
sprach	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
die	DDART.*.Akk.Pl.*	die	dër
eren	NA.Fem.Gen.Pl.*	êren	êre
reiche	ADJD.Pos	rîche	rîche
:	$_	:	:
<ob	KOUS	ob	obe
er	PPER.Masc.Nom.Sg.3	er	ër
ye	AVD	ie	iè
preys	NA.Masc.Akk.Sg.st	prîs	prîs
bejagt	VVFIN.Ind.Pres.Sg.3	bejaget	bejagen
,	$_	,	,
dem	DDS.Masc.Dat.Sg.*	dem	dër
hallt	VVFIN.*.Past.Sg.3	hallte	hallen
er	PPER.Masc.Nom.Sg.3	er	ër
ungeleiche	AVD	ungelîche	ungelîche
.	$_	.	.
	
ich	PPER.*.Nom.Sg.1	ich	ich
wen	VVFIN.*.Pres.Sg.1	wæne	wænen
wol	AVD	wole	wole
,	$_	,	,
das	KOUS	daz	dazz
sein	DPOSA	sîn	sîn
ellen	NA.Neut.Nom.Sg.st	ellen	èllent
sey	VAFIN.Subj.Pres.Sg.3	sî	sîn
verzagt.>	VVFIN.*.Past.Sg.3	verzagete	verzagen
die	DDART.Fem.Nom.Sg.*	die	dër
fraw	NA.Fem.Nom.Sg.*	vrouwe	vrouwe
von	APPR	von	von
moloand	NE.Dat.Sg	Moloant	Moloand
ain	DIART	ein	èin
maget	NA.Fem.Nom.Sg.st	maget	maged
hiesse	VVFIN.Subj.Past.Sg.3	hieze	hèizen
,	$_	,	,
das	KOUS	daz	dazz
sy	PPER.Fem.Nom.Sg.3	si	ër
ir	PPER.Fem.Dat.Sg.3	ir	ër
aus	PTKVZ	ûz	ûz
zu	APPR	zuo	ze
vellde	NA.Neut.Dat.Sg.st	velde	vëld
ain	DIART	ein	èin
potschaft	NA.Fem.Akk.Sg.st	boteschaft	boteschaft
füert	VVFIN.*.Past.Sg.3	vuorte	vüèren
und	KON	und	unte
das	DDS.Neut.Akk.Sg.*	daz	dër
durch	AVD	durch	durh
nicht	NA.Neut.Akk.Sg.st	niht	niht
enliesse	PTKNEG|VVFIN.Subj.Past.Sg.3	en|lieze	ne|lâzen
.	$_	.	.
	
<jen	FM	-	-
ritter	NA.Masc.Nom.Sg.st	ritter	rîtære
,	$_	,	,
den	DRELS.Masc.Akk.Sg	den	dër
ir	PPER.*.Nom.Pl.2	ir	ir
hallten	VVFIN.*.Past.Pl.3	halleten	hallen
dort	AVD	dort	dort
secht	VVFIN.*.Pres.Pl.2	sehet	sëhen
gar	AVD	gar	gare
streytes	NA.Masc.Gen.Sg.st	strîtes	strît
frey	ADJD.Pos	vrî	vrî
:	$_	:	:
sprecht	VVIMP.Pl.2	sprechet	sprëchen
zu	APPR	zuo	ze
dem	DDART.Masc.Dat.Sg.*	dem	dër
wolgestalten	ADJA.Pos.Masc.Dat.Sg.wk	wolegestalten	wolestalt
,	$_	,	,
das	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
der	DDART.Fem.Gen.Sg.*	der	dër
küniginne	NA.Fem.Gen.Sg.st	küninginne	küninginne
kempf	NA.Masc.Nom.Sg.st	kempf	kèmpf
hie	AVD	hier	hièr
sey	VAFIN.Subj.Pres.Sg.3	sî	sîn
in	APPR	in	in
disem	DDA.Masc.Dat.Sg.*	disem	dise
streit(	NA.Masc.Dat.Sg.st	strîte	strît
und	KON	und	unte
sunst	VVFIN.Ind.Pres.Sg.2	sunst	süènen
auch	AVD	ouch	ouch
manger	DIA.Fem.Dat.Sg.st	maniger	manig
frawen	NA.Fem.Gen.Sg.st	vrouwen	vrouwe
)	$_	)	)
.	$_	.	.
	
das	DDS.Neut.Nom.Sg.*	daz	dër
sey	VAFIN.Subj.Pres.Sg.3	sî	sîn
ir	DPOSA	ire	ire
pet	NA.Neut.Nom.Sg.st	bet	bët
von	APPR	von	von
in	PPER.*.Dat.Pl.3	in	ër
zu	APPR	zuo	ze
im	PPER.Masc.Dat.Sg.3	im	ër
,	$_	,	,
das	KOUS	daz	dazz
er	PPER.Masc.Nom.Sg.3	er	ër
sich	PRF.Akk.*.*	sich	sich
lass	VVFIN.Ind.Past.Sg.3	las	lësen
in	PTKVZ	în	în
streit	VVFIN.Ind.Past.Sg.3	streit	strîten
durch	APPR	durch	durh
sy	PPER.Fem.Akk.Sg.3	si	ër
auch	AVD	ouch	ouch
schawen.>	NA.Neut.Gen.Sg.wk	schouwennes	schouwen
die	DDART.Fem.Nom.Sg.*	die	dër
maget	NA.Fem.Nom.Sg.st	maget	maged
auf	APPR	ûf	ûf
die	DDART.Fem.Akk.Sg.*	die	dër
grüene	ADJA.Pos.Fem.Akk.Sg.st	grüene	grüène
rait	VVFIN.Ind.Past.Sg.3	reit	rîten
zu	APPR	zuo	ze
dem	DDART.Neut.Dat.Sg.*	dem	dër
ellensreichen	NA.Neut.Dat.Sg.st	ellensreichen	èllenschrîchen
.	$_	.	.
	
sy	PPER.Fem.Nom.Sg.3	si	ër
sprach:<	VVFIN.Ind.Past.Sg.3	sprach	sprëchen
hort	VVFIN.*.Past.Sg.3	hôrte	hoèren
,	$_	,	,
ritter	NA.Masc.Nom.Sg.st	ritter	rîtære
küene	ADJN	küene	küène
,	$_	,	,
ich	PPER.*.Nom.Sg.1	ich	ich
pin	VAFIN.Ind.Pres.Sg.1	bin	sîn
ain	DIART	ein	èin
pot	NA.Masc.Nom.Sg.wk	bote	bote
von	APPR	von	von
frawen	NA.Fem.Dat.Pl.*	vrouwen	vrouwe
minnigkleichen	AVD	minniclîchen	minniglîche
,	$_	,	,
zuvoran	VVPP	<unknown>	zervaren
von	APPR	von	von
der	DDART.Fem.Dat.Sg.*	der	dër
lanndes	NA.Neut.Gen.Sg.st	landes	lant
küniginne	NA.Fem.Dat.Sg.st	küninginne	küninginne
.	$_	.	.
	
das	KOUS	daz	dazz
ir	PPER.*.Nom.Pl.2	ir	ir
der	DDART.Masc.Nom.Sg.*	der	dër
ritter	NA.Masc.Nom.Sg.st	ritter	rîtære
weset	VAFIN.*.Pres.Pl.2	weset	wësen
hie	AVD	hier	hièr
,	$_	,	,
drumb	PAVD|PAVAP	dâr|umbe	dâr|umbe
sol	VMFIN.Ind.Pres.Sg.3	sol	solen
belonen	VVINF	belônen	belônen
euch	PPER.*.Akk.Pl.2	iuch	ir
die	DDART.*.Akk.Pl.*	die	dër
süesse	NA.Masc.Akk.Pl.st	swesse	süèze
mynne.>	ADJD.Pos	minnen	minne
hiemit	PAVD|PAVAP	hier|mit	hièr|mite
die	DDART.Fem.Nom.Sg.*	die	dër
maget	NA.Fem.Nom.Sg.st	maget	maged
prachte	VVFIN.*.Past.Sg.3	brâhte	bringen
den	DDART.*.Dat.Pl.*	den	dër
helldausser	ADJA.Pos	helldausser	<unknown>
gedanken	NA.Masc.Dat.Pl.st	gedanken	gedank
;	$_	;	;
alls	KO*	als	allsô
er	PPER.Masc.Nom.Sg.3	er	ër
sich	PRF.Akk.*.*	sich	sich
recht	AVD	reht	rëhte
verdaehte	VVFIN.*.Past.Sg.3	verdâhte	verdècken
,	$_	,	,
das	KOUS	daz	dazz
man	PI.*.Nom.Sg.st	man	man
in	PPER.Masc.Akk.Sg.3	in	ër
het	VAFIN.*.Past.Sg.3	hæte	haben
gesehen	VVPP	gesehen	sëhen
des	DDART.Masc,Neut.Gen.Sg.*	des	dër
muets	NA.Masc,Neut.Gen.Sg.st	muotes	muot
so	AVD	sô	sô
kranken	ADJA.Pos.Masc.Akk.Sg.*	kranken	krank
,	$_	,	,
er	PPER.Masc.Nom.Sg.3	er	ër
dacht	VVFIN.Ind.Past.Sg.3	dâhte	dènken
,	$_	,	,
er	PPER.Masc.Nom.Sg.3	er	ër
wärs	VAFIN.Subj.Past.Sg.3	<unknown>	wësen
gelesstert	VVPP	gelestert	lèsteren
ymmermere	AVD	iemermêre	ièmermêre
.	$_	.	.
	
indem	APPR|DDART.Neut.Dat.Sg.*	in|dem	in|dër
her	NA.Neut.Dat.Sg.st	her	hère
gabon	VVFIN.Ind.Past.Pl.3	gâben	gëben
im	PPER.Masc.Dat.Sg.3	im	ër
zu	APPR	zuo	ze
velld	NA.Neut.Dat.Sg.st	<unknown>	<unknown>
dar	AVD	dar	dâr
het	VAFIN.*.Past.Sg.3	hæte	haben
gesand	VVPP	gesant	sènten
drew	CARDA.Neut.Akk.Pl.st	driu	drî
gros	ADJA.Pos.*.Akk.Pl.st	grôze	grôz
und	KON	und	unte
starke	ADJA.Pos.*.Akk.Pl.st	starke	stark
spere	NA.Neut.Akk.Pl.st	spere	spër
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
wand	VVFIN.Ind.Past.Sg.3	want	wænen
gar	AVD	gar	gare
han	VAINF	hân	haben
verloren	VVPP	verloren	verlièsen
sein	DPOSA.Masc.Akk.Sg.*	sîn	sîn
preys	NA.Masc.Akk.Sg.st	prîs	prîs
und	KON	und	unte
ritters	NA.Masc.Gen.Sg.st	ritters	rîtære
eer	NA.Fem.Akk.Sg.st	<unknown>	<unknown>
.	$_	.	.
	
das	DDART.Neut.Akk.Sg.*	daz	dër
ors	NA.Neut.Akk.Sg.st	ors	ors
mit	APPR	mit	mit
scharfen	ADJA.Pos.*.Dat.Pl.*	scharpfen	scharpf
sporen	NA.Neut.Dat.Pl.st	sporen	spor
zerseitt	NA.Fem.Dat.Sg.st	<unknown>	<unknown>
er	PPER.Masc.Nom.Sg.3	er	ër
nam	VVFIN.Ind.Past.Sg.3	nam	nëmen
;	$_	;	;
zustreit	VVFIN.Ind.Past.Sg.3	zuostreit	zerstrîten
im	PPER.Masc.Dat.Sg.3	im	ër
stuend	VVFIN.Ind.Past.Sg.3	stuont	stân
sein	DPOSA	sîn	sîn
ger	NA.Fem.Nom.Sg.*	ger	gëre
.	$_	.	.
	
erst	AVD.Sup	êrst	êreste
hort	VVFIN.*.Past.Sg.3	hôrte	hoèren
man	PI.*.Nom.Sg.st	man	man
sper	NA.Neut.Akk.Sg.st	sper	spër
erkrachen	VVINF	erkrachen	erkrachen
,	$_	,	,
swert	NA.Neut.Akk.Sg.st	swert	swërt
erklingen	VVINF	erklingen	erklingen
;	$_	;	;
man	PI.*.Nom.Sg.st	man	man
sach	VVFIN.Ind.Past.Sg.3	sach	sëhen
manng	DIA.Neut.Akk.Sg.*	manic	manig
drunzun	NA.Fem.Akk.Sg.st	trunzen	trunze
in	APPR	in	in
dem	DDART.Masc.Dat.Sg.*	dem	dër
windt	NA.Masc.Dat.Sg.st	<unknown>	wint
,	$_	,	,
do	KOUS	dô	dô
er	PPER.Masc.Nom.Sg.3	er	ër
mit	APPR	mit	mit
hurt	NA.Fem,Masc.Dat.Sg.*	hurte	hurte
den	DDART.*.Dat.Pl.*	den	dër
punder	NA.Neut.Dat.Sg.st	punder	bunter
tet	VVFIN.*.Past.Sg.3	tet	tuon
durchdringen	NA.Neut.Akk.Sg.st	durchdringen	durhdringen
.	$_	.	.
	
gar	AVD	gar	gare
frawen	NA.Fem.Nom.Pl.st	vrouwen	vrouwe
und	KON	und	unte
man	NA.Masc.Nom.Pl.st	manne	mann
das	DDS.Neut.Akk.Sg.*	daz	dër
jahen	VVFIN.Ind.Past.Pl.3	jâhen	jëhen
,	$_	,	,
das	KOUS	daz	dazz
sy	PPER.*.Nom.Pl.3	si	ër
zu	APPR	zuo	ze
diser	DDA.Fem.Dat.Sg.*	diser	dise
welt	NA.Fem.Dat.Sg.st	werelt	wërelt
nie	AVD	nie	niè
küeneren	ADJA.Pos.Masc.Akk.Sg.*	küeneren	küène
man	NA.Masc.Akk.Sg.st	man	mann
gesahen	VVFIN.Ind.Past.Pl.3	gesâhen	gesëhen
,	$_	,	,
der	AVD	dâr	dâr
auf	APPR	ûf	ûf
ain	DIART	ein	èin
tag	NA.Masc.Akk.Sg.st	tac	tag
solich	DDA.Neut.Akk.Sg.*	solich	solich
wunder	NA.Neut.Akk.Sg.st	wunder	wunter
stifft	VVFIN.Ind.Pres.Sg.3	stiffet	stiffen
zu	APPR	zuo	ze
velld	NA.Neut.Dat.Sg.st	<unknown>	<unknown>
.	$_	.	.
	
her	PPER.Masc.Nom.Sg.3	her	ër
gabon	NE.Nom.Sg	Gabon	Gabon
gerte	VVFIN.*.Past.Sg.3	gerte	gëren
auch	AVD-KO*	ouch	ouch
den	DDART.Masc.Akk.Sg.*	den	dër
streit	NA.Masc.Akk.Sg.st	strît	strît
zu	APPR	zuo	ze
schawen	NA.Neut.Dat.Sg.wk	schouwenne	schouwen
.	$_	.	.
	
wie	AVW	wie	wiè
er	PPER.Masc.Nom.Sg.3	er	ër
leg	VVFIN.Ind.Past.Sg.3	lêch	ligen
in	APPR	in	in
unkrefften	NA.Fem.Dat.Pl.st	unkreften	unkraft
gros	ADJD.Pos	grôz	grôz
,	$_	,	,
doch	AVD	doch	doh
trueg	VVFIN.Ind.Past.Sg.3	truoc	tragen
man	PI.*.Nom.Sg.st	man	man
in	PPER.Masc.Akk.Sg.3	in	ër
in	APPR	in	in
ain	DIART.Neut.Akk.Sg.*	ein	èin
venster	NA.Neut.Akk.Sg.st	venster	vënster
zu	APPR	zuo	ze
den	DDART.*.Dat.Pl.*	den	dër
frawen	NA.Fem.Dat.Pl.*	vrouwen	vrouwe
.	$_	.	.
	
und	KON	und	unte
alls	KO*	als	allsô
er	PPER.Masc.Nom.Sg.3	er	ër
die	DDART.Fem.Akk.Sg.*	die	dër
maleye	NA.Fem.Akk.Sg.st	maleie	malèie
dort	AVD	dort	dort
aus	PTKVZ	ûz	ûz
zu	APPR	zuo	ze
vellde	NA.Neut.Dat.Sg.st	velde	vëld
sach	VVFIN.Ind.Past.Sg.3	sach	sëhen
,	$_	,	,
das	KOUS	daz	dazz
der	DDART.Masc.Nom.Sg.*	der	dër
helld	NA.Masc.Gen.Pl.st	<unknown>	<unknown>
zaghait	NA.Fem.Nom.Sg.st	zageheit	zagehèit
freye	ADJD.Pos	vrî	vrî
der	DDART.*.Gen.Pl.*	der	dër
veindte	NA.Masc.Gen.Pl.st	<unknown>	<unknown>
schar	NA.Fem.Akk.Sg.st	schar	schare
so	AVD	sô	sô
hurtigklich	AVD	hurticlîche	hurtiglîche
durchprach	VVFIN.Ind.Past.Sg.3	durchbrach	durhbrëchen
,	$_	,	,
das	DDS.Neut.Nom.Sg.*	daz	dër
gab	VVFIN.Ind.Past.Sg.3	gap	gëben
im	PPER.Masc.Dat.Sg.3	im	ër
zu	APPR	zuo	ze
sein	DPOSA	sîn	sîn
wunden	NA.Fem.Akk.Pl.st	wunden	wunte
noch	AVD	noch	noh
mer	ADJA.Comp	mêr	mêre
kreffte	NA.Fem.Akk.Pl.st	krefte	kraft
dann	KOKOM	danne	danne
wurzen	NA.Fem.Dat.Pl.st	wurzen	wurze
,	$_	,	,
kraut	NA.Fem.Nom.Sg.st	krût	krût
und	KON	und	unte
was	PG.Neut.Akk.Sg.st	swaz	swër
man	PI.*.Nom.Sg.st	man	man
im	PPER.Masc.Dat.Sg.3	im	ër
ye	AVD	ie	iè
erzen	VVINF	erzenen	èrzenen
kundt	ADJD.Pos	kunt	kund
mit	APPR	mit	mit
kunst	NA.Fem.Dat.Sg.st	kunst	kunst
und	KON	und	unte
maisterscheffte	NA.Fem.Dat.Sg.st	meisterschefte	mèisterschaft
.	$_	.	.
	
her	PPER.Masc.Nom.Sg.3	her	ër
gabon	VVFIN.Ind.Past.Pl.3	gâben	gëben
zehen	CARDA	zehen	zëhen
spere	NA.Neut.Akk.Pl.st	spere	spër
aber	AVD	aber	aber
zu	APPR	zuo	ze
velld	NA.Neut.Dat.Sg.st	<unknown>	<unknown>
im	PPER.Masc.Dat.Sg.3	im	ër
sanndt	VVFIN.*.Past.Sg.3	sande	<unknown>
(	$_	(	(
nu	AVD	nû	nû
merket	VVIMP.Pl.2	merket	mèrken
)	$_	)	)
,	$_	,	,
fürbas	AVD	vürebaz	vürebazz
mere	AVD.Comp	mêre	mêre
fünf	CARDA	vünv	vünv
schnelle	ADJA.Pos.Neut.Akk.Pl.st	schelle	snëll
ors	NA.Neut.Akk.Pl.st	ors	ors
hochstark	ADJN	hôchstarc	hohestark
von	APPR	von	von
spanielandt	NE.Dat.Sg	<unknown>	Spanjellant
.	$_	.	.
	
ain	DIART.Masc.Nom.Sg.*	ein	èin
knab	NA.Masc.Nom.Sg.*	knabe	knabe
im	PPER.Masc.Dat.Sg.3	im	ër
sagt	VVFIN.*.Past.Sg.3	sagete	sagen
,	$_	,	,
wer	PW.Masc.Nom.Sg.st	wer	wër
es	PPER.Neut.Akk.Sg.3	ez	ër
dar	AVD	dar	dâr
hiet	VAFIN.Subj.Past.Sg.3	hiete	haben
gesenndet	VVPP	gesendet	sènten
.	$_	.	.
	
do	KOUS	dô	dô
er	PPER.Masc.Nom.Sg.3	er	ër
hort	VVFIN.*.Past.Sg.3	hôrte	hoèren
von	APPR	von	von
gabone	NE.Dat.Sg	Gabon	Gabon
,	$_	,	,
do	AVD	dô	dô
ward	VAFIN.Ind.Past.Sg.3	wart	wërden
in	APPR	in	in
herzen	NA.Neut.Dat.Sg.wk	herzen	hërze
im	PPER.Masc.Dat.Sg.3	im	ër
trawrens	NA.Neut.Gen.Sg.st	trûrenes	trûren
vil	NA.Neut.Nom.Sg.st	vile	vile
verschwenndet	VVPP	verswendet	verswènten
.	$_	.	.
	
er	PPER.Masc.Nom.Sg.3	er	ër
